	summarized	lineages	abundances	resid	coverage
Mixture19	[('Omicron', 0.9990108703672261)]	BA.1.1 BA.1.5 BA.1	0.49898694 0.49898694 0.00103700	2.6656582036486416	76.79162625823496
Mixture17	[('Iota', 0.9955410000000142)]	B.1.526	0.99554100	1.581796350645426	53.32909741497509
Mixture33	[('Other', 0.9995949779997819)]	B.20 B.15 B B.1.1.161	0.33265808 0.33265808 0.33265808 0.00162075	1.3863611763582304	79.11246363241146
Mixture23	[('Omicron', 0.9999999999856277)]	BG.3 BA.2.12 XAR	0.99128300 0.00759968 0.00111732	3.8963115582231147	66.46490318697121
Mixture18	[('Delta', 0.9999999999995058)]	AY.30 B.1.617.2	0.99869800 0.00130200	5.234588515694993	83.2123867170518
Mixture12	[('Omicron', 0.9986052976320046)]	BF.1 BA.5.5 BA.5 BA.5.3.2	0.68421100 0.24728300 0.06453065 0.00258065	5.65806052443525	88.83389626458883
Mixture13	[('Omicron', 0.999999999999634)]	BA.4.1 CS.1	0.99732620 0.00267380	7.633858175158584	84.7005317192255
Mixture16	[('Gamma', 0.9999999999993023)]	P.1.12	1.00000000	3.519019866457021	85.5198475069391
Mixture25	[('Omicron', 0.9999999999998325)]	BA.5.5	1.00000000	3.799811577831267	73.97251111928568
Mixture21	[('Other', 0.9999999999998043)]	B.20 B.15 B	0.33333333 0.33333333 0.33333333	1.3018134954584433	75.94221315587065
Mixture11	[('Omicron', 0.999641061231499)]	BA.2.12.1 BA.2.12	0.98716906 0.01247200	4.908581862674025	79.99531819549878
Mixture35	[('Gamma', 0.9999999999997702)]	P.1.10 P.1.12	0.50000000 0.50000000	0.8479961506902902	58.07444069156941
Mixture07	[('Omicron', 0.3672433839914027), ('Iota', 0.20461695100129265), ('Alpha', 0.1942039999998903), ('Other', 0.13338354800716193), ('Gamma', 0.08700030499825642)]	BA.4.1 B.1.526 B.1.1.7 B.1 B.1.8 BA.2.12.1 P.1.6 BF.1 BA.2.12 P.1.4 P.1 BF.15 BA.4 B.46 BF.35 BA.5.1.16 B.1.199	0.23076900 0.20461695 0.19420400 0.06472411 0.06472411 0.06334510 0.05232500 0.02567874 0.02345047 0.01802731 0.01664800 0.01464440 0.00547958 0.00233725 0.00205128 0.00182482 0.00159808	11.843649382579677	95.43524061130991
Mixture24	[('Omicron', 0.9998150199987434)]	BF.1	0.99981502	5.439322198125099	80.8346988596462
Mixture03	[('Omicron', 0.9971311350205138)]	BA.2.65 BA.4.1 BA.5.5 BA.2.12.1 XT BF.15 BF.27 BA.2.23 BA.4.2	0.27868602 0.25756454 0.24148399 0.14954429 0.03178200 0.01592570 0.01180579 0.00927835 0.00106045	6.359175779921983	83.24582817777481
Mixture14	[('Other', 0.9993016759949)]	B.20 B.15 B B.10 B.47 B.5	0.33086837 0.33086837 0.33086837 0.00348432 0.00178571 0.00142653	1.4406969598555786	92.82011838277096
Mixture15	[('Alpha', 0.9999999999944897)]	B.1.1.7	1.00000000	5.784460545712999	90.40564491857005
Mixture04	[('Omicron', 0.37680979864612907), ('Other', 0.22481293223797474), ('Iota', 0.13877600000111584), ('Alpha', 0.12792499997988366), ('Gamma', 0.12594093090395914)]	B.1.526 B.1.1.7 B.1.1.28 BA.1.21 BA.2.56 BA.2.23 P.1 BA.2.40.1 P.1.12 B B.20 BA.3.1 BA.3 B.1.1.61 BA.2.39 B.1.533 B.1.1.376 XAH B.1.1.43 P.1.13 B.1.1.386 XT BA.2.30 BA.2.10.2 B.1.1.382 B.1.1.229 BA.2.7 B.1.1.243 BA.1.6	0.13877600 0.12792500 0.09210500 0.07880550 0.07659587 0.07115850 0.06214520 0.06013210 0.05437288 0.03154403 0.03154403 0.02453990 0.02350660 0.02004330 0.01610170 0.01385555 0.01153850 0.01109290 0.01002650 0.00942285 0.00751880 0.00518410 0.00406504 0.00330033 0.00303644 0.00237530 0.00132626 0.00122549 0.00100100	10.82807632700463	90.52937832324515
Mixture01	[('Omicron', 0.4487655474888918), ('Other', 0.340989647928498), ('Gamma', 0.08395746899214918), ('Alpha', 0.0832094999759789), ('Iota', 0.023986799999253367), ('Delta', 0.009118943014319994)]	BA.2.23 BA.4.1 BA.3 BA.4.8 B.1.1.7 B.1.1.301 B.1.1.161 B.1.1.28 B.1.533 B.27 P.1 P.1.11 B.1.526 XU BA.2.12.1 BA.5 AY.14 BA.5.1.24 B.1.1.129 BA.2.16 B.1.1.118 P.1.17 B.1.1.398	0.12682200 0.11111100 0.08554280 0.08362600 0.08320950 0.07792759 0.07709080 0.07411530 0.05893030 0.04814202 0.04170090 0.04103258 0.02398680 0.01625731 0.01200751 0.00936338 0.00911894 0.00248756 0.00225225 0.00154799 0.00131926 0.00122399 0.00121212	11.776299708956937	89.64652376015785
Mixture31	[('Alpha', 0.3997049999999094), ('Other', 0.3814597370068123), ('Iota', 0.08847561500144732), ('Gamma', 0.08771929999965092), ('Delta', 0.03531599998946754), ('Omicron', 0.0059419039946379685)]	B.1.1.7 B B.20 B.1.526 P.1.4 B.1.1.161 AY.52 P.1 BA.1.24 B.1.617 P.1.7 AY.30	0.39970500 0.16601120 0.16601120 0.08847562 0.05230943 0.04475333 0.03375350 0.03075240 0.00594190 0.00468400 0.00465747 0.00156250	7.052650222127181	89.2619469618433
Mixture34	[('Alpha', 0.9994170000028034)]	B.1.1.7	0.99941700	4.160304142247734	92.17804233688928
Mixture06	[('Omicron', 0.6035546039525984), ('Other', 0.11049499798652196), ('Delta', 0.09648551591851864), ('Iota', 0.07398369999998348), ('Alpha', 0.054698499999501195), ('Gamma', 0.04779489999907285)]	BA.2.23 BA.1.9 XAP AY.52 BA.2.38 B.1.526 B.1.617 BA.2.56 B.1.1.7 BA.2.12.1 BA.1.21 P.1.7 B.1.8 B.1 XAJ P.1.6 BA.3 BA.1.2 BG.1 B.1.617.2 XAC B.1.382 B.1.606 BA.2.16 AY.54	0.13120076 0.10138428 0.09610361 0.09076407 0.07422428 0.07398370 0.06273480 0.05673103 0.05469850 0.05108963 0.04822877 0.03340190 0.02215427 0.02215427 0.01554654 0.01439300 0.01067900 0.00792507 0.00605327 0.00470930 0.00328947 0.00223214 0.00121951 0.00109890 0.00101215	9.936937032745186	93.18797445072401
Mixture29	[('Omicron', 0.9927981967129941)]	BA.2.65 BA.5.5 BA.2.12.1 BA.4.1 BA.4 BA.5 XZ BA.2.24 BA.2.70 BA.5.3.4 BA.2.33 BA.2.52 BA.2.8	0.43409171 0.13694999 0.12152054 0.11999996 0.06119003 0.05690033 0.03392998 0.01470590 0.00478755 0.00436849 0.00174824 0.00159743 0.00100804	3.8510741250630267	89.12818111895128
Mixture05	[('Omicron', 0.5293320659954628), ('Other', 0.465595590986142)]	BA.4 B B.20 BA.4.1 BA.4.8 B.1.1.200 BG.5 BA.5.5 B.1.1.89 B.1.559 B.1.1.360 B.1.8 B.1 B.1.384 B.1.1.192 B.1.143 B.43 B.1.1.277 B.1.1.367 BF.2 B.1.113 BA.4.1.6	0.21568600 0.13076304 0.13076304 0.11660642 0.10268420 0.08333330 0.04726227 0.04475221 0.03777540 0.02538550 0.02098950 0.00753860 0.00753860 0.00613497 0.00488827 0.00375940 0.00211864 0.00191939 0.00151286 0.00130039 0.00117509 0.00104058	9.928187024932063	88.07811925224894
Mixture30	[('Omicron', 0.9951656822866793)]	BA.2.65 BA.4.1 XAS BF.27 BA.2.12.1 BF.15 BF.14	0.34942219 0.26039506 0.12566461 0.12218868 0.09708151 0.03910130 0.00131234	5.8458631921254	88.11156071297194
Mixture28	[('Omicron', 0.9998326866853452)]	BA.2.65 BA.2.43 BA.2.71	0.99500551 0.00271003 0.00211715	7.096263989180382	85.64692505768652
Mixture27	[('Omicron', 0.9830593562276815)]	BA.4.1 BA.4.1.6 BA.4.1.10 BA.4.1.8 BA.4.1.2 BA.4.1.5 BF.11.5	0.97248037 0.00323276 0.00179438 0.00168729 0.00139567 0.00133289 0.00113600	12.720935011664052	91.76671236999633
Mixture32	[('Omicron', 0.4979501336408328), ('Other', 0.17688793205835063), ('Iota', 0.16242300000628093), ('Alpha', 0.1487569999930313)]	B.1.526 B.1.1.7 BA.2.23 BA.4.1 BA.2.12.1 B BF.1 B.1.8 B.1 BA.5 BA.1.9 BA.1.12 BA.1.17.2 B.1.78 BA.1 BA.1.2 B.4.6 B.1.153 BA.4.2 B.1.609 B.1.1.27 B.1.382 B.1.157 XAH BA.2.31 B.1.1.87 BA.1.24 B.1.547 BA.2.58 B.1.555 BF.35 BA.2.3.2 BA.1.22	0.16242300 0.14875700 0.14685340 0.08872900 0.07553861 0.06370134 0.05190233 0.04356764 0.04356764 0.03484909 0.02725910 0.02668514 0.02495700 0.00625000 0.00469344 0.00449141 0.00371747 0.00277778 0.00277393 0.00263852 0.00259291 0.00234632 0.00180560 0.00170843 0.00167131 0.00142653 0.00129422 0.00128700 0.00122100 0.00120919 0.00117647 0.00110132 0.00104493	9.512975361143036	96.1575761629268
Mixture10	[('Omicron', 0.9960666005816607)]	BA.2.56 BA.2.23 XAP BA.1.12 BA.1 XV XM BA.2.10 BA.3 XAH BA.1.22 XT XAD BA.5.3.4 BA.2.11	0.38980839 0.15187200 0.14862747 0.11838306 0.08306400 0.04093400 0.03367100 0.00729927 0.00575800 0.00480439 0.00382409 0.00262467 0.00260417 0.00174608 0.00104603	8.609056962070154	86.14185867638699
Mixture42	[('Omicron', 0.9999999891534245)]	BA.4.1.4 BA.4.1 BA.2.21	0.49893843 0.49893843 0.00212314	5.521633542068421	67.59522455940875
Mixture38	[('Omicron', 0.9999999888348559)]	BA.1.1 BA.1.12 BA.1.9 BA.1.1.10	0.49694357 0.49694357 0.00454545 0.00156740	1.8993723843807386	76.71471089857205
Mixture22	[('Omicron', 0.9980344505891802)]	BA.2.12.1 BA.2.12 XT	0.97098200 0.02574300 0.00130945	5.139723062743498	90.54275490753436
Mixture26	[('Omicron', 0.9998311949982653)]	BA.4.1 BA.4 XAS	0.99645400 0.00205619 0.00132100	5.003067416955856	88.42925458984048
Mixture36	[('Iota', 0.9965810000005771), ('Other', 0.0015799999996363775)]	B.1.526 B.1.483	0.99658100 0.00158000	5.861389345125817	88.51954653379259
Mixture02	[('Other', 0.4567352019811871), ('Alpha', 0.3809519999991462), ('Iota', 0.08092489999990997), ('Delta', 0.04790419999936745), ('Omicron', 0.015142821992662972), ('Gamma', 0.014778299993598908)]	B.1.1.7 B.1.547 B.1.526 B.1.513 B.1.252 AY.14 B.20 B B.1.617 B.1.336 B.1.8 B.1 B.1.381 P.1 B.1.450 B.1.559 B.1.110 BA.1.21 BA.1.12 BA.1.7 B.1.76 B.56 B.1.179	0.38095200 0.09578540 0.08092490 0.05788710 0.05320949 0.04790420 0.04203211 0.04203211 0.03542910 0.03309920 0.02578397 0.02578397 0.01590590 0.01477830 0.01134520 0.00871521 0.00569127 0.00504928 0.00504677 0.00504677 0.00171233 0.00131579 0.00100705	9.38828793479779	90.32204126676253
Mixture09	[('Other', 0.9982014829949595)]	B.20 B.15 B B.27 B.45	0.32776191 0.32776191 0.32776191 0.01348310 0.00143266	4.062511302729854	90.47921613216066
Mixture08	[('Omicron', 0.989649755594715)]	BA.2.23 BA.5.5 BA.4.1 BA.2.12.1 XM XAP BA.1.21 BA.1.12 BA.5 BA.2.65 BA.1 BA.1.9 BA.3 BA.4.8 XV BA.1.2 BA.2.19 BA.2.2 BA.1.24 BA.2.85 BA.2.52 BA.1.8 BA.5.3.2 CU.1	0.20126298 0.16048394 0.11662499 0.08572780 0.07589720 0.06853959 0.05414269 0.05414201 0.04655171 0.03488438 0.03369199 0.01882106 0.00892599 0.00789902 0.00603778 0.00371422 0.00197626 0.00188964 0.00169779 0.00157852 0.00146627 0.00135684 0.00132157 0.00101552	5.590697171975251	91.90382235896064
Mixture20	[('Omicron', 0.9966443999779141)]	BA.2.65 BA.2.23 BA.2.32 BA.2.2 BA.2.1	0.95587785 0.02816700 0.00721501 0.00375940 0.00162514	5.042052764133944	88.83724041066114
Mixture40	[('Omicron', 0.9999999998099715)]	BA.2.12.1 BA.2.12	0.96832800 0.03167200	4.03123673040054	82.60709627796543
Mixture39	[('Omicron', 0.9964615723290413)]	BA.2.65 BA.2.40 BA.2.23	0.97930039 0.01526720 0.00189398	4.55742540199977	86.41942280038792
Mixture37	[('Delta', 0.9976147929998233)]	AY.30	0.99761479	5.951515570590314	91.19820753770524
Mixture41	[('Omicron', 0.9993311039832137)]	BA.5.5	0.99933110	4.416241827868754	88.39246898304518
