	summarized	lineages	abundances	resid	coverage
Mixture10	[('Omicron', 0.9975717180426531)]	BA.2 XV XZ BA.5.1.24 BA.2.3.11	0.58099226 0.41114600 0.00299100 0.00124772 0.00119474	4.976228631428079	60.56582951543324
Mixture33	[('Other', 0.9991664789997173)]	B.20 B.15 B	0.33305549 0.33305549 0.33305549	2.0032989566508483	85.30916630438418
Mixture18	[('Delta', 0.9997859999994894)]	AY.30 AY.17	0.99875613 0.00102987	5.317548740150956	86.74714911547336
Mixture13	[('Omicron', 0.998533452122301)]	BA.4.1.4 BA.4.1 BA.4.1.10	0.49804423 0.49804423 0.00244499	7.201742712517713	86.35588402501422
Mixture06	[('Omicron', 0.5873358917738384), ('Other', 0.15454161400588315), ('Delta', 0.0824684299968757), ('Iota', 0.07536114799856031), ('Alpha', 0.04581479999948437), ('Gamma', 0.04240455399241069)]	B.1.617 BA.2.23 BA.2.12.1 BA.1.21 AY.30 BA.2.38 B.1.526 BA.5 BA.1.9 B.1.1.7 P.1.4 BA.3 BA.2.11 BA.2.70 B.1.110 B.1.453 B.1.343 AY.50 B.1.520	0.14743423 0.13405000 0.10605261 0.10228507 0.08082098 0.07805540 0.07536115 0.05528968 0.05522900 0.04581480 0.04240455 0.03077900 0.02119354 0.00440159 0.00248865 0.00181488 0.00165837 0.00164745 0.00114548	11.684422749777085	95.00384576798315
Mixture01	[('Omicron', 0.4983439483129362), ('Other', 0.24872436444927107), ('Alpha', 0.11599999998149729), ('Gamma', 0.06131682198731002), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.0456061999999129), ('Iota', 0.017636599991670852)]	BA.4 B.1.1.7 BA.2.12 XAP B.1.1.116 B.1.513 XBB.1.5.62 B.1.1.200 P.1 BA.4.1 BA.3 XU BA.2.10 B B.20 P.1.6 B.1.526 BA.2.38 B.1.533 BA.2.23 B.1.1.378 XAS B.1.1.166 B.1.1.529 B.1.1.117 B.6 B.1.413 XZ B.1.1.129 B.1.1.178	0.15717230 0.11600000 0.11563816 0.08866156 0.08798710 0.04605140 0.04560620 0.04438216 0.03924840 0.02985070 0.02908004 0.02886618 0.02601734 0.02369461 0.02369461 0.02206842 0.01763660 0.01287891 0.00952177 0.00375485 0.00342466 0.00290012 0.00281770 0.00214638 0.00184502 0.00149925 0.00140499 0.00137741 0.00123762 0.00116347	14.354674163307175	95.18442965588737
Mixture11	[('Omicron', 0.9979728386173077)]	BA.2.12.1 BA.2.12	0.98036084 0.01761200	5.376293270107693	88.73357188241982
Mixture14	[('Other', 0.9989050120082278)]	B.20 B	0.49945251 0.49945251	5.715220583689552	94.04073169916062
Mixture17	[('Iota', 0.997328999999159)]	B.1.526	0.99732900	5.235630252846969	91.6429789653212
Mixture24	[('Omicron', 0.9999999999997321)]	BF.1	1.00000000	5.819630405114818	78.75464000267532
Mixture35	[('Gamma', 0.9997267759828007)]	P.1.12	0.99972678	4.323079798051229	83.86783934722268
Mixture16	[('Gamma', 0.9990141189997566)]	P.1.12 P.1.13	0.99746373 0.00155039	2.251383988367183	82.83115406480955
Mixture29	[('Omicron', 0.9956337435554878)]	BA.2.65 BA.5.5 BA.2.12.1 BA.4.1 BA.4.2 BA.4 BA.2.9 BA.2.29 BA.2.52	0.56004325 0.19614610 0.08936094 0.07358883 0.03300500 0.02793923 0.01236360 0.00205761 0.00112919	3.9902995873431335	88.77035748921513
Mixture12	[('Omicron', 0.9952470471682411)]	BF.1 BA.5.5 BA.5 BA.5.2.1 XAS BF.32	0.62577245 0.30381889 0.03421321 0.02616988 0.00315060 0.00212202	5.739187276435753	90.17824298565361
Mixture15	[('Alpha', 0.9993969999967685)]	B.1.1.7	0.99939700	4.9837530929070075	88.76701334314284
Mixture32	[('Omicron', 0.48877602124547104), ('Other', 0.16912312217558326), ('Alpha', 0.1602299999952677), ('Iota', 0.1540310000006631)]	B.1.1.7 B.1.526 BA.2.23 BA.4.1 BA.2.12.1 BA.5 BA.1 B.20 B BF.1 B.1.1.216 BA.1.17.2 BA.4 B.1.8 B.1 B.1.413 BA.2.51 BA.3 BA.1.9 BA.2.72 B.1.143 BA.2.10 B.1.1.369 B.1.533 B.1.1.448 B.1.1.166 B.1.1.174 B.1.1.342 B.1.211 BA.2.73 BA.2.19 BA.2.12 B.1.1.222 BA.2.28 B.1.1.83	0.16023000 0.15403100 0.12276000 0.08414514 0.06271531 0.05172648 0.04527940 0.03015923 0.03015923 0.02727270 0.02351009 0.01763293 0.01753759 0.01590972 0.01590972 0.01352496 0.01307190 0.01247572 0.01148289 0.00977654 0.00659824 0.00658436 0.00649133 0.00598876 0.00535189 0.00428367 0.00397351 0.00259403 0.00232612 0.00225633 0.00150325 0.00137901 0.00131062 0.00117647 0.00103199	10.046427201643	95.85325887034746
Mixture05	[('Omicron', 0.5244269045200606), ('Other', 0.4651144338986588)]	BA.4.1 B.20 B BA.2.12.1 BA.5.5 B.1.1.89 B.1.1.161 B.1.78 BF.2 XAP B.1.1.34 B.6 B.1.1.13 B.1.225	0.29569794 0.13123651 0.13123651 0.08516802 0.08093400 0.06670750 0.06449457 0.04545450 0.03454942 0.02807752 0.02243293 0.00136799 0.00116144 0.00102249	9.767152186153844	91.47911580777848
Mixture03	[('Omicron', 0.9931743762471479)]	BA.4.1 BA.5.5 BA.2.65 BG.5 BF.1 XT BA.2.12 BA.2.12.1 XAR BA.2.33 BA.5.5.3 BA.2.30 BA.5.3.4 BA.2.4 BF.7.20	0.42939270 0.23759100 0.09836007 0.09023941 0.03851168 0.02848580 0.02692000 0.01567780 0.00851576 0.00571429 0.00528600 0.00498753 0.00130052 0.00115875 0.00103306	7.6653135045550975	89.05460990536066
Mixture23	[('Omicron', 0.9993777197625923)]	BA.2.12.1 BA.2.12	0.98903172 0.01034600	4.3541049259093825	84.26913687589874
Mixture09	[('Other', 0.9990069270382407)]	B.20 B.15 B B.1.559	0.33250706 0.33250706 0.33250706 0.00148574	3.3933646313522363	88.45935190449119
Mixture04	[('Omicron', 0.42682017699170854), ('Other', 0.27077916700748583), ('Gamma', 0.12416099999972278), ('Alpha', 0.09674369999985981), ('Iota', 0.07375889999995648)]	BA.2.38 B.1.1.7 BA.1.17.2 B.1.105 B.20 B B.1.526 P.1.4 P.1.6 BA.2.39 B.1.76 BA.2.56 BA.1.22 XAH BA.1.7 BA.1.21 BA.2.28 BA.2.10.2 BA.1 BA.2.30 BA.2.52 BA.2.4	0.20572100 0.09674370 0.09032810 0.08153850 0.08068236 0.08068236 0.07375890 0.06694183 0.05721917 0.03453520 0.02787594 0.02598383 0.01587300 0.01218513 0.01022369 0.00990469 0.00714286 0.00411523 0.00406513 0.00291545 0.00282486 0.00100200	12.685082568892573	91.76002407785172
Mixture21	[('Other', 0.9987753269951667)]	B.20 B.15 B	0.33292511 0.33292511 0.33292511	1.6948178978203197	89.83379594020667
Mixture28	[('Omicron', 0.9957291671352833)]	BA.2.65 BA.2.30 BA.2.23	0.99099965 0.00280505 0.00192447	7.383256824269843	88.30552118516536
Mixture02	[('Alpha', 0.4590159999975926), ('Other', 0.45304524109759947), ('Omicron', 0.08289489500633675)]	B.1.1.7 B.1.1.161 B.1.1.28 B.1.533 B.1.1.529 B.20 B P.7	0.45901600 0.20440939 0.12877963 0.10914461 0.08289490 0.00428131 0.00428131 0.00214900	12.459398048498123	90.02441226632779
Mixture36	[('Iota', 0.9973819999999992)]	B.1.526	0.99738200	4.962223049320443	91.23164899842826
Mixture34	[('Alpha', 0.9989552529997316)]	B.1.1.7	0.99895525	3.956382918625136	93.09768250677189
Mixture27	[('Omicron', 0.997911417004972)]	BA.4.1 BA.4	0.98666700 0.01124442	5.019974361050214	88.41253385947898
Mixture38	[('Omicron', 0.9959854899957066)]	BA.1.1 BA.1.21 BA.1.9	0.49729247 0.49729247 0.00140056	3.360004678862099	84.7707587867438
Mixture20	[('Omicron', 0.993359434902008)]	BA.2.65 BA.2.26 BA.2.52 BA.2.17	0.98393701 0.00588235 0.00184162 0.00169845	4.821986442107104	90.24847005317193
Mixture25	[('Omicron', 0.9999999999949023)]	BA.5.5 BA.5.5.1	0.99852071 0.00147929	4.511003517246838	82.4499214125673
