	summarized	lineages	abundances	resid	coverage
Mixture23	[('Omicron', 0.9911529702571974)]	BA.5.3.1 BA.2.2.1 BA.2.44 BA.2.22 BA.2.42 BA.2.82 BA.2.12.1 BA.2.21 BA.2.46 BA.2.39 BA.2.47 BA.2.13 BA.2.45 BA.2.49 BA.2.81 BA.2.2 BA.2.15 BA.2.76 BA.2.79 BA.2.78 BA.2.43 BA.2.60 BA.2.80 DJ.1.2 BA.2.53 BA.5.3 BA.5 BH.1 XAJ BG.6 BA.2.38.2 BA.2.76.1 XT XAD XZ BA.2.38.4 BG.5 BA.2.76.2 XAP XAH XAS BA.2.38.3 BA.2.38.1 BA.2.13.1 BA.2.20 BA.2.54 BA.2.56.1 BA.2.69 BA.2.10.2 BA.2.10.3 BA.2.61 BA.2.33 BA.2.11 BA.2.63 BA.2.50 BA.2.41 BA.2.72 BA.2.1 BA.2.31 BA.2.24 BA.2.10 BA.2.58 BA.2.65 BA.2.29 BA.2.5 BA.2.4 BA.2.56 BA.2.10.1 BA.2.85 BA.2.37 BA.2.55 BA.2.36 BA.2.6 BA.2.51 BA.2.25 BA.2.52 BA.2.71 BA.2.14 BA.2.31.1 BA.2.67 BA.2.68 BA.2.26 BA.2.87 BA.2.16 BA.2.64 BA.2.38 BA.2.57 BA.2.12 BA.2.73 BA.5.5 BA.2 BA.5.3.4 BF.17 BF.7.7 BF.7.26 BF.7.18 BF.7.12 BE.12 BA.5.1.20 BA.5.1.36 BK.1 DJ.1 BA.5.1.27 BA.5.1.7 DL.1 BA.5.1.26 BA.5.2.2 BF.26 BF.33 BF.38.1 BF.38.3 BF.7 BF.7.10 BF.7.16 BF.7.24 BA.5.2.23 BA.5.2.40 BF.39.1 BF.7.17 BF.7.11 BF.7.9 DJ.1.3 DJ.1.1 EB.1 BF.7.4 BF.7.8 BA.5.1.37 BA.5.1.9 BF.40 BF.37 BF.7.1 BF.7.20 BF.7.21 BF.7.23 BF.14 BE.5 XAZ BE.2 BE.4 BE.11 BA.5.9 BA.5.1.2 BA.5.1.30 BA.5.1.3 BA.5.1.23 BA.5.1.35 BA.5.1.34 BA.5.1.12 BA.5.1.14 BA.5.1.24 BA.5.1.17 BA.5.1.22 BA.5.2.1 BA.5.6 BA.5.11 BA.5.1 BA.5.2 BA.5.3.5 BA.5.5.1 BA.5.5.3 BF.12 BE.6 BE.7 BA.5.1.10 BA.5.1.25 BA.5.1.15 BA.5.1.28 BA.5.1.16 BA.5.1.5 BA.5.2.9 BF.39 BF.38 BF.4 BF.41 BF.31 BF.6 BF.18 BF.8 BQ.1.21 BA.5.1.19	0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00555290 0.00146699 0.00127065	0.07981319040736869	18.041668060060864
Mixture35	[('Gamma', 0.9990280559997937)]	P.1.12 P.1.11 P.1.1 P.1.16 P.1.7 P.1.4	0.16650468 0.16650468 0.16650468 0.16650468 0.16650468 0.16650468	0.6549792016616448	37.962746212754574
Mixture21	[('Other', 0.9992257519950258)]	B.13 B.51 B.4 B.56 B.26 B.47 B.19 B.20 B.15 B B.3 B.53	0.09968068 0.09968068 0.09968068 0.09968068 0.09968068 0.09968068 0.09968068 0.09968068 0.09968068 0.09968068 0.00129534 0.00112360	0.5004910754127505	44.91857004313948
Mixture33	[('Other', 0.9995124669985388)]	B.18 B.56 B.12 B.50 B.6 B.23 B.55 B.20 B.15 B	0.09995125 0.09995125 0.09995125 0.09995125 0.09995125 0.09995125 0.09995125 0.09995125 0.09995125 0.09995125	1.1005999742398422	51.914523626392004
Mixture19	[('Omicron', 0.9983534865186868)]	BA.1.1.7 BA.1.1.12 BA.1.1.11 BA.1.13.1 BA.1.1 BA.1.16 BA.1.13 BA.1.5 BA.1.4 BA.1.12 BA.1	0.09951785 0.09951785 0.09951785 0.09951785 0.09951785 0.09951785 0.09951785 0.09951785 0.09951785 0.09951785 0.00317500	3.426561945493383	61.15774337023041
Mixture01	[('Other', 0.5659609419656328), ('Omicron', 0.4164932920094579)]	B.1.1.368 BA.2.40.1 BA.2.18 B.1.1.115 B.1.400 B.1.238 B.1.399 B.1.1.197 B.1.1.112 B.1.1.135 B.1.1.28 B.1.1.274 B.1.1.253 B.1.1.372 B.1.239 B.1.1.118 B.1.1.148 B.1.1.99 B.1.1.462 B.1.1.57 B.1.1.515 B.1.1.117 B.1.1.448 B.1.1.200 B.1.8 B.1.143 B.1.105 B.1.106 B.1.378 B.1.91 B.1.609 B.1.379 B.1.1.53 B.1.243 B.1.190 B.1.1.464 B.1.222 B.1.390 B.1.69 B.1.1 B.1.416 B.1.416.1 B.1.232 B.1.1.500 B.1.1.249 B.1.1.453 B.1.1.132 B.1.1.416 B.1.1.152 B.1.1.58 B.1.1.362 B.1.1.436 B.1.1.407 B.1.215 B.1.1.61 B.1.1.512 B.1.1.403 B.1.1.517 B.1.1.418 B.1.528 B.1.192 B.1.420 B.1.225 B.1 B.1.1.1 B.1.1.369 B.1.1.331 B.1.1.144 B.1.1.13 B.1.1.194 B.1.240 B.1.242 B.1.1.297 B.1.1.75 B.1.1.5 B.1.1.27 B.1.1.317 B.1.1.518 B.1.1.119 B.1.1.423 B.1.1.426 B.1.1.204 B.1.1.328 B.1.1.329 B.1.1.301 B.1.1.299 B.1.1.222 B.1.1.71 B.1.1.256 B.1.552	0.23857900 0.20824665 0.20824665 0.00471698 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00381417 0.00265957 0.00238095 0.00104822	14.853629412276977	57.218339297060496
Mixture13	[('Omicron', 0.9972880644395046)]	BA.4.1 BA.4	0.49864403 0.49864403	4.943400402663158	74.52763936728756
Mixture16	[('Gamma', 0.9999999999997882)]	P.1.12 P.1.15	0.50000000 0.50000000	0.5355115639233536	63.3916329465271
Mixture18	[('Delta', 0.9996380000058109)]	AY.30	0.99963800	3.5905524675690677	71.09988964317961
Mixture36	[('Iota', 0.9990910000000286)]	B.1.526	0.99909100	3.297776443237541	73.91900478212888
