	summarized	lineages	abundances	resid	coverage
Mixture15	[('Alpha', 0.9992031869999257)]	B.1.1.7	0.99920319	5.093098822749993	93.69294050764137
Mixture19	[('Omicron', 0.9972974750946244)]	BA.1.9 BA.1.24 BA.1.7 BA.1.5	0.98163076 0.00755073 0.00634921 0.00176678	3.438703623672363	91.29853191987426
Mixture09	[('Other', 0.9994378859998245)]	B.20 B.15 B	0.33314596 0.33314596 0.33314596	1.5377287213975865	93.66953148513527
Mixture16	[('Gamma', 0.9985665009698629)]	P.1.10 P.1.13 P.1.7 P.1.7.1	0.97316630 0.01331560 0.00615340 0.00593120	4.931290905232595	93.68625221549678
Mixture08	[('Omicron', 0.9925489039770133)]	BA.2.56 BG.5 BA.2.23 XAP BA.5.5 BA.2.78 BA.1.9 BA.1.2 BA.4.1 BA.1 BA.2.12.1 B.1.1.529 BA.3 BA.2.7 BA.4.2 BA.1.14 BA.4 BA.2.3 BA.2.59	0.59278394 0.12880600 0.05682176 0.05338834 0.03211780 0.02112700 0.02039941 0.01916170 0.01623713 0.01356870 0.01226800 0.00829380 0.00636776 0.00316706 0.00225507 0.00189071 0.00142303 0.00141543 0.00105625	5.659155825294354	93.21138347323011
Mixture14	[('Other', 0.9974679900066334)]	B B.11 B.1.559 B.1.1.279	0.97443920 0.01717947 0.00321750 0.00263182	4.02567667064984	97.22101461391834
Mixture29	[('Omicron', 0.9961202542473762)]	BA.2.56 BA.4.1 BA.5 BA.5.5 BA.2.12.1 XAP BA.5.5.1 BG.1 BA.2.78 BA.2.38 XT BA.2.23 BA.2.38.3 BG.5 BA.2.8	0.84458526 0.05341439 0.02750212 0.01846336 0.01203373 0.01027027 0.00882244 0.00367870 0.00313597 0.00313597 0.00294985 0.00262199 0.00242480 0.00201401 0.00106739	5.280816410817358	92.17135404474467
Mixture22	[('Omicron', 0.9976169540000759)]	BG.5	0.99761695	5.696535294492113	91.01093535765642
Mixture23	[('Omicron', 0.9999999999997621)]	BG.5	1.00000000	6.457201421490068	84.8142326856837
Mixture33	[('Other', 0.9993419609993364)]	B.20 B.15 B B.26	0.31118415 0.31118415 0.31118415 0.06578950	3.0084269042144087	91.24168143664515
Mixture11	[('Omicron', 0.9999999999936197)]	BG.5	1.00000000	5.345467955015994	90.57954051432966
Mixture04	[('Omicron', 0.8153536577761071), ('Other', 0.07084018108602405), ('Gamma', 0.06591725397579107), ('Iota', 0.03164560000098086), ('Alpha', 0.0055300969976832)]	BA.2.38 BA.2.56 BA.2.23 P.1.6 B.1.1.529 B.1.526 P.1 BA.1.17.2 B.1 B.1.142 B.1.8 BA.1.2 B B.20 B.5 BA.2.85 B.1.1.7 B.1.559 BA.2.28 BA.2.10 B.1.147 BA.2.59 BA.1.5	0.55527370 0.11758863 0.06399200 0.04406295 0.03560880 0.03164560 0.02185430 0.02026260 0.01457899 0.01457899 0.01457899 0.00875000 0.00673470 0.00673470 0.00673470 0.00568182 0.00553010 0.00442385 0.00326797 0.00277316 0.00247525 0.00108202 0.00107296	12.997774524576101	94.6894960371869
Mixture10	[('Omicron', 0.9932206357074789)]	BA.2.56 BA.2.23 XAP BA.1.9 B.1.1.529 BA.1 BA.1.14.1 BA.2.52 BA.1.2 BA.2.59 BA.2.3.10	0.83316692 0.05425276 0.04718500 0.02911672 0.01092000 0.00977690 0.00217332 0.00205620 0.00193050 0.00151057 0.00113175	5.0869935535041835	91.44233020098318
Mixture20	[('Omicron', 0.9946639729867685)]	BA.2.56	0.99466397	4.71028207151332	88.79042236564894
Mixture25	[('Omicron', 0.9997468999951734)]	BA.5.5	0.99974690	5.879080285472046	89.12483697287898
Mixture12	[('Omicron', 0.9979873511001172)]	BF.1 BA.5.5 BA.5.2.1 BA.5 BF.32	0.75838900 0.18596700 0.04018880 0.01145645 0.00198610	5.863845854914343	90.07123031134
Mixture26	[('Omicron', 0.999999875776142)]	BA.4.1 BA.5	0.99645999 0.00353989	6.933927918761411	88.97769454569776
Mixture02	[('Iota', 0.21920735301118754), ('Alpha', 0.20135614593641996), ('Delta', 0.17622374296307744), ('Omicron', 0.1569385069843902), ('Other', 0.13587600998920835), ('Gamma', 0.1034295999412401)]	B.1.526 B.1.1.7 BA.1.17.2 AY.19 P.1.7 B.1.617 AY.18 B B.20 B.1.617.2 P.1.10 B.1.1.529 P.1.4 BA.1.14.1 B.15 AY.58	0.21920735 0.20135615 0.13541565 0.07943474 0.07609185 0.06659100 0.06451000 0.03248733 0.03248733 0.03125755 0.01645075 0.01153000 0.01088700 0.00999286 0.00431034 0.00102145	9.486750361527566	95.51884426311742
Mixture24	[('Omicron', 0.9999999999997959)]	BF.1	1.00000000	5.651529833823043	86.61672741865365
Mixture30	[('Omicron', 0.9956575947848492)]	BA.2.56 BG.5 BA.4.1 BA.2.12.1 BF.1 XAP BA.5 BA.4 BA.2.10 BA.4.2 BA.2.23 BA.2.59	0.46491489 0.22183127 0.16744200 0.04910067 0.02763304 0.02244511 0.02171230 0.00943568 0.00396968 0.00269179 0.00241200 0.00206917	6.148119972824961	93.60599270976157
Mixture37	[('Delta', 0.999422966986495)]	AY.30 AY.18 AY.13	0.99140786 0.00609756 0.00191755	6.950466457108041	94.75303481256061
Mixture17	[('Iota', 0.9974641399991176)]	B.1.526	0.99746414	4.572315175903968	92.78667692204796
Mixture35	[('Gamma', 0.9999999999942201)]	P.1.7	1.00000000	5.060157613794617	91.74999163963481
Mixture13	[('Omicron', 0.9997022599357757)]	BA.4.1 BA.4.1.9 BA.4	0.98432333 0.01428566 0.00109327	6.826239773443377	90.73671537972778
