	summarized	lineages	abundances	resid	coverage
Mixture19	[('Omicron', 0.9999999346664818)]	BA.1.9	0.99999993	2.8082479014623374	84.06179981941611
Mixture28	[('Omicron', 0.9958689444319389)]	BA.2.13 BA.2.51 BA.2.69 BA.2.56 BA.2.23 BA.2.9.6 BA.2.32 BA.2.81 BA.2.30 BA.2.62 BA.2.58	0.23030732 0.23030732 0.23030732 0.23030732 0.03952199 0.01232030 0.01174170 0.00565709 0.00286003 0.00142248 0.00111607	7.450750894730934	89.39236865866302
Mixture10	[('Omicron', 0.9984728779948586)]	BA.2.56 BA.2.23 BA.1.9 BA.1 B.1.1.529 XM BA.1.22 BA.2.35 BA.2.32 BA.2.22 BA.1.3	0.48435067 0.14871599 0.14364610 0.09351300 0.04668099 0.02458200 0.02410798 0.02080440 0.00797871 0.00230415 0.00178890	9.310607420004164	87.54974417282547
Mixture03	[('Omicron', 0.9964996330714765)]	BA.2.56 BA.4.1 BG.5 BA.5.5.1 BA.4 BA.5.5 XT BA.5 BA.2.23 BA.2.40.1 BA.2.40	0.42548538 0.24717794 0.11213001 0.10048988 0.04998302 0.02468471 0.01408980 0.00840398 0.00751899 0.00326796 0.00326796	6.850624847505988	90.32538541283483
Mixture05	[('Omicron', 0.5529840059991046), ('Other', 0.4426846080046594)]	BA.4.1 BA.5.5 B.20 B BA.5 B.3 B.1.142 B.1.8 B.1 BF.1 B.1.78 BA.5.2.1 B.6.5 B.1.94 B.1.227 B.11 B.1.378 BA.4.1.5 B.1.607 BA.5.3.2 BA.5.1.3 B.1.153	0.34806334 0.10398309 0.09526795 0.09526795 0.04411662 0.04308390 0.03980714 0.03980714 0.03980714 0.02347420 0.02215190 0.02127290 0.02007170 0.01221000 0.01107420 0.00941100 0.00869565 0.00832266 0.00501882 0.00201207 0.00173913 0.00101010	12.675884685021128	93.26823395645921
Mixture27	[('Omicron', 0.9987640040029427)]	BA.4.1 BA.4	0.99482195 0.00394205	5.205824425682053	90.34545028926864
Mixture11	[('Omicron', 0.9987719519956132)]	BG.5	0.99877195	5.138410163299299	86.37594890144801
Mixture02	[('Other', 0.3738475177301234), ('Alpha', 0.3698485659963367), ('Iota', 0.07984634048364679), ('Delta', 0.07962717497640094), ('Omicron', 0.0597014999419119), ('Gamma', 0.034087499991848846)]	B.1.1.7 B.20 B B.1.526 AY.30 BA.1.17.2 P.1.7 B.1.617.2 B.1.1.529 P.1 B.1.545 B.47 B.1.617 AY.19	0.36984857 0.18063190 0.18063190 0.07984634 0.05335830 0.04400210 0.02539680 0.02507380 0.01569940 0.00869070 0.00679282 0.00300300 0.00278790 0.00119507	9.605062302834591	93.84008293482259
Mixture25	[('Omicron', 0.9999999999999123)]	BA.5.5	1.00000000	4.296451367876883	85.24228338293817
Mixture16	[('Gamma', 0.9999999999934469)]	P.1.12 P.1.13	0.97364770 0.02635230	4.765652828022496	93.29164297896533
Mixture15	[('Alpha', 0.9999999999959013)]	B.1.1.7	1.00000000	5.527203019812596	93.03079958532588
Mixture29	[('Omicron', 0.9961211509649381)]	BA.4.1 BA.2.69 BA.5.5 XAP BG.5 BA.5 BA.2.12 BA.2.23 BG.1	0.28206416 0.18899760 0.13610678 0.11442516 0.11430881 0.07815053 0.07576504 0.00469793 0.00160514	5.207749836790692	90.36551516570243
