	summarized	lineages	abundances	resid	coverage
Mixture15	[('Alpha', 0.9992031869995504)]	B.1.1.7	0.99920319	5.06244076178544	93.69294050764137
Mixture11	[('Omicron', 0.9999999999940479)]	BG.5	1.00000000	5.3539679854941085	90.57954051432966
Mixture09	[('Other', 0.9994378859998261)]	B.20 B.15 B	0.33314596 0.33314596 0.33314596	1.5378729583675177	93.66953148513527
Mixture13	[('Omicron', 0.9997021903804757)]	BA.4.1 BA.4.1.9 BA.4	0.98410621 0.01449278 0.00110319	6.834022865283476	90.73671537972778
Mixture27	[('Omicron', 0.9988272994488607)]	BA.4.1	0.99882730	6.443842760140882	89.17499916396348
Mixture22	[('Omicron', 0.9976166620000733)]	BG.5	0.99761666	5.701628196305537	91.01093535765642
Mixture06	[('Omicron', 0.876616137706079), ('Other', 0.05858201590188007), ('Gamma', 0.027334979993006544), ('Delta', 0.02153450997541306)]	BA.2.56 BG.5 XAP BA.5 B.1.1.529 B.1.617 BA.2.23 BA.1.9 BA.2.38 AY.53 P.1.6 P.1.4 B.1.485 BA.1.2 B.1.559 P.1 B.1.320 AY.19 BA.2.52 B.1.617.2 B.1.432 BA.2.32 BA.1 B.1.67	0.37754893 0.25346277 0.07524553 0.05057217 0.04129470 0.03967470 0.03342900 0.01766766 0.01689456 0.01674732 0.01518530 0.00855008 0.00763130 0.00497760 0.00436872 0.00359960 0.00354108 0.00258919 0.00257437 0.00219800 0.00218558 0.00159365 0.00135520 0.00118064	11.66175809083237	95.71614888138313
Mixture23	[('Omicron', 0.9999999999971064)]	BG.5	1.00000000	6.463697196381929	84.8142326856837
Mixture24	[('Omicron', 0.9999999999997893)]	BF.1	1.00000000	5.663346778027491	86.61672741865365
Mixture25	[('Omicron', 0.9997468999956817)]	BA.5.5	0.99974690	5.887826673654686	89.12483697287898
Mixture35	[('Gamma', 0.999999999994273)]	P.1.7	1.00000000	5.061442451786665	91.74999163963481
Mixture12	[('Omicron', 0.9979867068694172)]	BF.1 BA.5.5 BA.5.2.1 BA.5 BF.32	0.75825400 0.18716300 0.03912216 0.01146145 0.00198610	5.8702915734217544	90.07123031134
Mixture01	[('Omicron', 0.7923536976813108), ('Other', 0.0799229899952619), ('Gamma', 0.05520049999721786), ('Delta', 0.026515603998944152), ('Iota', 0.018203900000436868), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.006082938000695894), ('Alpha', 0.006011716999680194)]	BA.2.56 BA.2.23 BG.5 BA.2.38 P.1.4 BA.4 BA.4.1 XAP B.1 BA.5.5 B.1.526 BA.5.2.1 B.1.195 AY.18 BA.1.17.2 XAJ BA.2.56.1 BA.2.45 BA.1.2 BA.2.10 B B.1.1.529 B.1.1.7 B.3.1 AY.53 B.1.104 B.1.115 BA.4.1.3 B.1.227 B.1.302 B.1.617.2 BF.39 AY.30 GR.1 XBB.1.5.24 BF.40 BA.2.8 XBB.1.5.42 B.1.513 BA.1.14.2 XAL B.1.617 B.1.495 BA.5.3.2 B.1.211	0.27279626 0.14102710 0.07256025 0.06313585 0.05520050 0.05008017 0.03541295 0.03439339 0.02918256 0.02068563 0.01820390 0.01778877 0.01694920 0.01517463 0.01455979 0.01402300 0.01088650 0.00985222 0.00743889 0.00652422 0.00651466 0.00631360 0.00601172 0.00595238 0.00540541 0.00493273 0.00466136 0.00424128 0.00332349 0.00321691 0.00309812 0.00300752 0.00283745 0.00246255 0.00203801 0.00200803 0.00190295 0.00158238 0.00158103 0.00134953 0.00129570 0.00128960 0.00126422 0.00107009 0.00105485	13.851248884291419	99.38802126876902
Mixture10	[('Omicron', 0.9932200551767251)]	BA.2.56 BA.2.23 XAP BA.1.9 B.1.1.529 BA.1 BA.1.14.1 BA.2.52 BA.1.2 BA.2.59 BA.2.3.10	0.83299459 0.05437577 0.04723360 0.02912726 0.01092000 0.00976560 0.00217391 0.00205620 0.00193050 0.00151103 0.00113159	5.095160601996547	91.44233020098318
