	summarized	lineages	abundances	resid	coverage
Mixture21	[('Other', 0.002116399999999055)]	B.1.1.219	0.00211640	0.0004781666368913126	2.4646356552854227
Mixture19	[('Omicron', 0.9619427139756782), ('Other', 0.03629972505568595)]	XS XF XP BA.1.15.3 BA.1.16.1 BA.1.1.16 BA.1.1.5 BA.1.1.17 BA.1.1.3 BC.2 BC.1 BA.1.15.1 BA.1.15.2 BD.1 BA.1.16.2 BA.1.1.2 BA.1.1.18 BA.1.1.9 BA.1.1.7 BA.1.1.10 BA.1.1.15 BA.1.1.8 BA.1.1.12 BA.1.1.11 BA.1.1.6 BA.1.1.14 BA.1.1.4 BA.1.8 BA.1.15 BA.1.13.1 BA.1.23 BA.1.1.1 BA.1.22 BA.1.24 BA.1.17.2 BA.1.17.1 BA.1.14.2 BA.1.14.1 BA.1.3 BA.1.21.1 BA.1.1 BA.1.18 BA.1.17 BA.1.16 BA.1.13 BA.1.14 BA.1.9 BA.1.19 BA.1.21 BA.1.5 BA.1.4 BA.1.7 BA.1.12 BA.1.10 BA.1	0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986 0.01814986	0.01558542024501327	4.297227702906063
Mixture23	[('BA.2.75* [Omicron (BA.2.75.X)]', 0.4727272727223409), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.32272727272390617), ('Omicron', 0.14999999999843527), ('Other', 0.05454545454488555)]	XCU JV.2 JV.1 DV.7.1.7 BA.2.79.1 BA.2.12.1 BA.2.21 BA.2.76 BA.2.79 BA.2.66 BA.2.78 BA.2.67 FK.1.3.2 DV.7.1 FK.1.3.1 XDQ.1 FK.1.1.1 FK.1.1.2 FK.1.3 FK.1.5 XDQ FK.1.4.1 FK.1.1 XCC DV.6.2 DV.6.1 DV.8 DV.1.1 DV.3.1 FK.1.4 FK.1.2.1 DV.5 DV.7 DV.3 FK.1.2 FR.1.3 FR.1.1 FR.1.4 XBV XBF.7.1 CJ.1.3.1 DV.6 DV.1 DV.2 XCE CJ.1.3.2 FR.1.2 XCN XBF.7 CH.1.1.18 GQ.1.1 DV.4 CH.1.1.22 FS.1 FJ.1 CH.1.1.32 FK.1 DS.2 DS.1 XCG EP.2 CV.1 XBF CH.1.1.5 CH.1.1.16 CH.1.1.30 CH.1.1.23 CH.1.1.8 CH.1.1.12 GP.1 GP.3 CH.1.1.13 CH.1.1.14 CH.1.1.2 CH.1.1.21 EP.1 XBK.1 CJ.1.3 CJ.1.1 CJ.1.2 GQ.1 CH.1.1.19 CH.1.1.17 GP.2 CH.1.1.15 CH.1.1.29 CH.1.1.25 CH.1.1.24 CH.1.1.4 FR.1 FR.2 DS.3 XBY XBN XDH BM.1.1.2 CV.2 XBQ XBK CH.1.1.28 CH.1.1.11 CH.1.1.10 CH.1.1.26 BN.1.5.1 BN.1.5.2 BN.1.2.5 BN.1.2.1 BN.1.4.1 BN.1.3.3 BM.1.1.5 BM.1.1.3 CJ.1 CH.3.1 CH.1.1.27 CH.1.1.3 CH.1.1.1 BN.1.2.7 BN.1.2.8 BN.1.4.4 BN.1.4.2 BN.1.4.3 BN.1.3.4 BN.1.3.1 BM.1.1.4 CH.3 CH.1.1 BN.1.11 BN.1.1.1 BN.1.2.2 BN.1.2.6 BN.1.2.3 BN.1.2.4 BN.1.4.5 BR.2.1 BM.1.1.1 CH.1 BN.3 BN.1.8 BN.1.6 BN.1.1 BN.1.9 BN.1.2 BR.2 BY.1.1.1 BL.2.1 BL.1.5 BL.1.2 BL.1.4 BM.1.1 CH.2 BM.2.1 BN.1.10 BN.1.7 BN.1.5 BN.1.4 BN.1.3 BL.1.1 BM.4.1.1 BN.1 BN.2.1 BY.1.1 BY.1.2 BL.4 BL.2 BL.3 BL.5 BL.1.3 BM.4.1 BM.2.2 BM.2.3 BN.4 BA.2.75.4 CB.1 BY.1 BL.1 BM.1 BM.4 BM.5 BM.3 BM.2 BN.6 BN.2 BN.5 BA.2.75.8 BA.2.75.9 BA.2.75.6 BA.2.75.1 BA.2.75.7 BA.2.75.3 BA.2.75.5 BA.2.75.10 BA.2.75 BG.7 BG.4 XAJ BG.1 BA.2.38.2 BG.3 BA.2.76.1 BA.2.38.4 BG.5 BA.2.76.2 BA.2.38.1 BA.2.12.2 BA.2.38 BA.2.57 BA.2.12 BA.2.73 BA.2.68 BA.2.17 BA.2.37 XDN DV.7.1.6 DV.7.1.2 DV.7.1.3 JL.1 KG.1 DV.7.1.1 DV.7.1.8 DV.7.1.5	0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545	0.20189562014259516	2.534862722803732
Mixture25	[('Omicron', 0.998662642985456)]	BA.5.5	0.99866264	3.3835368428958845	16.41975721499515
Mixture13	[('Omicron', 0.9985488450127327)]	BA.4.1.3 BA.4.1.4 BA.4.1	0.33284962 0.33284962 0.33284962	3.9944801925951614	23.696619068320903
Mixture16	[('Gamma', 0.9992399646998424)]	P.1.12 P.1.6 P.1.14 P.1.1 P.1.3 P.1.10 P.1.16 P.1.7 P.1.4	0.11102666 0.11102666 0.11102666 0.11102666 0.11102666 0.11102666 0.11102666 0.11102666 0.11102666	1.7915818006712094	28.137645052335888
Mixture04	[('Omicron', 0.773645628747212), ('Alpha', 0.22520399999918195)]	XAE B.1.1.529 Q.5 Q.6 B.1.1.7 Q.3 Q.1 Q.2	0.73571510 0.03793053 0.03753400 0.03753400 0.03753400 0.03753400 0.03753400 0.03753400	8.571732042361813	21.68009898672374
Mixture01	[('Other', 0.5830172835295871), ('Alpha', 0.41530715699852)]	C.28 B.1.1.7 Q.1	0.58301728 0.20765364 0.20765352	5.616709484296592	21.058087817275858
Mixture24	[('Omicron', 0.9973877255400567)]	BF.34 BF.13 BF.25 BF.29 BF.15 BF.1 BF.35 BF.3 BF.23	0.11082086 0.11082086 0.11082086 0.11082086 0.11082086 0.11082086 0.11082086 0.11082086 0.11082086	6.039881800126388	40.290271879075675
Mixture03	[('Omicron', 0.9974275356985486)]	XAH BA.4.1.6 BA.4.2 BA.4.1.4 BA.4.1.5 BA.4.1.1 BA.4.1 BA.4 BA.5 BA.5.5 BA.5.5.2 BA.5.8	0.50252902 0.06475227 0.06475227 0.06475227 0.06475227 0.06475227 0.06475227 0.06475227 0.01040816 0.01040816 0.01040816 0.01040816	3.1429345521717558	30.712637528007225
