	summarized	lineages	abundances	resid	coverage
Mixture19	[('Omicron', 0.9995673425676552)]	BA.1.5 BA.1.1.10 BA.1.1.6 BA.1.1.15	0.99558329 0.00154919 0.00121743 0.00121743	3.2918305619880748	80.36317426345182
Mixture17	[('Iota', 0.9995969999951706)]	B.1.526	0.99959700	1.6154735068837898	54.9443199678962
Mixture35	[('Gamma', 0.9999999999995846)]	P.1.12 P.1.10	0.50000000 0.50000000	0.8034787102714017	63.72939169982945
Mixture33	[('Other', 0.9991631349980621)]	B.20 B.15 B B.46	0.33253878 0.33253878 0.33253878 0.00154679	1.3460122269760126	85.76397017021704
Mixture12	[('Omicron', 0.9981747108406566)]	BF.1 BA.5.5 BA.5.2 BA.5.3.2	0.66407343 0.30025700 0.03177779 0.00206650	5.751858619526939	89.46593987225361
Mixture13	[('Omicron', 0.9998515439985735)]	BA.4.1	0.99985154	8.72993615535744	87.54974417282547
Mixture18	[('Delta', 0.9995196929986475)]	AY.30	0.99951969	5.001237668759581	87.20864127345082
Mixture25	[('Omicron', 0.999999999994314)]	BA.5.5	1.00000000	4.743205321439143	79.70437748720865
Mixture15	[('Alpha', 0.9997439999937008)]	B.1.1.7	0.99974400	5.724913690840104	92.42885329231181
Mixture03	[('Omicron', 0.9971565226248015)]	BA.5.5 BA.2.65 BA.2.12.1 BA.4.1.4 BA.4.1 XT BA.2.23 BG.1	0.26864076 0.20959347 0.18259152 0.14263801 0.14263801 0.03526568 0.01448700 0.00130207	6.6851101888813655	87.0013042169682
Mixture14	[('Other', 0.9944760019994165), ('A', 0.001681079997615231)]	B.20 B B.56 B.10 A.24	0.49461522 0.49461522 0.00354430 0.00170126 0.00168108	1.318712151439778	92.89703374243388
Mixture36	[('Iota', 0.9999999999998447)]	B.1.526	1.00000000	5.670718690773263	91.89713406681604
Mixture04	[('Omicron', 0.39563563143021785), ('Other', 0.18703058395348413), ('Iota', 0.15094799999830458), ('Gamma', 0.13228728098995327), ('Alpha', 0.12665199999865892)]	B.1.526 B.1.1.7 BA.2.38 BA.2.23 P.1 B.11 BA.1.21 P.1.12 BA.3 BA.2.56 XT B.1.1.28 B.1.1.61 BA.2.39 BA.3.1 B.1.1.376 XAH B.1.533 B B.20 B.1.1.398 B.1.1.43 P.1.13 B.1.1.386 BA.1.17.2 BA.2.30	0.15094800 0.12665200 0.09549727 0.08220730 0.06774770 0.06663900 0.05686215 0.05632159 0.04610620 0.03463805 0.03006480 0.02068625 0.02011630 0.01840760 0.01528010 0.01405840 0.01314060 0.01309500 0.01261117 0.01261117 0.01014130 0.00987775 0.00821799 0.00719424 0.00203100 0.00140056	12.210456620740494	94.09758218238973
Mixture23	[('Omicron', 0.9982661549955293)]	BG.3 BA.2.23 BA.2.12	0.99252000 0.00455516 0.00119100	4.075140580837508	76.44717921278801
Mixture16	[('Gamma', 0.9998474449980115)]	P.1.12	0.99984744	4.220309844960769	89.62980302979634
Mixture24	[('Omicron', 0.9999062265921991)]	BF.1	0.99990623	6.725003114406804	82.06200046818044
Mixture10	[('Omicron', 0.9951427941654234)]	BA.2.56 XAP BA.1.12 XM BA.2.23 BA.1 BA.3 XV BA.2.40 BA.1.22 BA.2.10 XAD BA.2.30 XAH	0.41405525 0.13571822 0.10611143 0.08668950 0.07551950 0.05499950 0.04410350 0.03628600 0.00961538 0.00920543 0.00758534 0.00672948 0.00426743 0.00425683	8.818189637035026	89.97090592917098
Mixture28	[('Omicron', 0.9968729075275742)]	BA.2.65 BA.2.9.3	0.99486294 0.00200997	7.69510230540448	87.51964685817477
Mixture11	[('Omicron', 0.9979731869536639)]	BA.2.12.1 BA.2.12 XAJ	0.99012677 0.00673900 0.00110742	4.739717157518948	85.17540046149216
Mixture21	[('Other', 0.9989680099967753), ('A', 0.0010319899993092678)]	B.20 B.15 B A	0.33298934 0.33298934 0.33298934 0.00103199	1.010001969376557	86.08500819315788
Mixture30	[('Omicron', 0.9960123505695442)]	BA.2.65 BA.4.1 BF.27 BA.2.12.1 BF.15 BA.2.12 BF.12 BA.5.2.1 BF.41	0.38148241 0.34613420 0.11701221 0.09649842 0.03740410 0.00626940 0.00533931 0.00293615 0.00293615	5.7057641091389755	90.8136307393907
Mixture05	[('Omicron', 0.5124981619938876), ('Other', 0.48407968109301974)]	BA.4.1 BA.4 B.20 B B.1.8 B.1 BG.5 BA.5.5 B.1.559 B.47 B.1.76 XAD XAJ	0.25396800 0.17258480 0.13440688 0.13440688 0.09323651 0.09323651 0.04840470 0.03538982 0.02487037 0.00199203 0.00193050 0.00108814 0.00106270	11.056068098188554	92.09778283115406
Mixture38	[('Omicron', 0.9721755465874331), ('Other', 0.011967740704805096), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.0011993299146474058), ('Mu', 0.0011253300020653862), ('Alpha', 0.0010780499991429944), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0010169499973969008)]	BA.1.1 BA.1.6 BA.1.5 BA.1.19 BA.1.9 BA.1.1.8 BA.1.1.16 BA.1.17 BA.1.16.1 BA.1.3 BA.1.2 BA.1.18 BA.1.22 BA.1.1.18 XP BA.1.16 BA.1.17.2 BA.1.15.2 BA.1.15 BA.1.15.1 BA.1.1.3 B.1.641 BA.1.1.7 BA.1.24 BA.1.23 BA.1.4 BA.1.21.1 BA.1.1.14 BA.1.8 BA.1.10 BA.1.14.2 BA.2.87.1 BA.1.1.10 B.1.622 B.1.640.2 FK.1.2.2 AV.1 BA.1.20 HW.1.2 B.1.214.4 BB.2 BC.1 Q.2 GL.2 BD.1 EP.1.1.1	0.74649771 0.02237450 0.02083330 0.01976440 0.01865890 0.01766300 0.01323250 0.00840071 0.00810898 0.00801603 0.00785340 0.00665906 0.00605755 0.00510664 0.00501169 0.00499745 0.00471918 0.00466693 0.00460120 0.00460120 0.00453074 0.00407056 0.00362319 0.00305944 0.00297089 0.00280724 0.00220033 0.00211832 0.00209790 0.00208768 0.00200056 0.00180180 0.00174317 0.00169837 0.00167555 0.00119933 0.00116652 0.00116437 0.00115075 0.00113932 0.00112533 0.00108108 0.00107805 0.00106667 0.00106451 0.00101695	29.3457472614309	82.87462796374946
Mixture42	[('Omicron', 0.9609249794443757), ('Other', 0.00903243908586649), ('BA.2.86* (BA.2.86X)', 0.003596889699379772), ('XBB.2.3* (XBB.2.3X)', 0.0019023498516717527), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.001372680034904291), ('Alpha', 0.0011834300800379542)]	BA.4.1.4 BA.4.1 BA.4.2 BA.4.1.6 BA.4.1.1 BA.4.1.7 BA.2.63 BA.2.81 BA.2.22 BA.4.7 BA.5.2.40 BA.2.87.1 BA.4.1.10 BA.4.1.5 B.1.641 DJ.1.1.1 BA.2.9.4 BA.4.1.3 BA.2.12.2 BA.2.31.1 BP.1 XAK AV.1 GS.6 BA.4.6.2 BG.1 JN.3.2.1 JN.1.4.5 B.1.640.2 BA.2.39 BA.3.1 BA.2.48 BA.2.9.7 AU.2 JV.2 BA.5.1.31 CK.1.5 BA.2.3.8 BS.1 BF.5.2 AM.3 Q.2 BA.4.1.11 BS.1.2 FF.1	0.43583446 0.43583446 0.01093140 0.00658328 0.00526316 0.00514317 0.00456026 0.00389470 0.00344024 0.00310720 0.00285575 0.00284576 0.00281677 0.00274851 0.00273738 0.00242131 0.00236947 0.00232404 0.00225972 0.00212634 0.00202441 0.00200702 0.00200267 0.00190235 0.00188752 0.00188679 0.00184000 0.00175689 0.00164204 0.00163937 0.00156250 0.00156198 0.00154012 0.00145560 0.00137268 0.00134116 0.00129870 0.00121420 0.00120888 0.00119808 0.00119475 0.00118343 0.00109890 0.00105152 0.00104384	30.956879010875866	75.5375714811223
Mixture27	[('Omicron', 0.9983334244888216)]	BA.4.1 BA.4	0.99520859 0.00312483	5.142800846600859	92.14794502223857
Mixture02	[('Alpha', 0.41099999999099474), ('Other', 0.3901581388673202), ('Iota', 0.07894739999809587), ('Delta', 0.06515834783802499), ('Omicron', 0.02497372297295955), ('Gamma', 0.022367699990876688)]	B.1.1.7 B.1.526 B.1.547 B.1.252 B.1.513 AY.14 B.20 B B.1.8 B.1 B.1.336 BA.1 P.1.7 B.1.559 B.1.450 AY.54 P.1 BA.1.3	0.41100000 0.07894740 0.07431980 0.06504217 0.05888220 0.05862600 0.03593635 0.03593635 0.03461406 0.03461406 0.02721326 0.02386630 0.01666670 0.01218550 0.01141440 0.00653235 0.00570100 0.00110742	9.962868934394862	92.22486038190148
Mixture06	[('Omicron', 0.6066213817804464), ('Delta', 0.0969960269879173), ('Other', 0.09118001928198195), ('Iota', 0.07615869999992919), ('Alpha', 0.0657521999991373), ('Gamma', 0.05316969998427465)]	BA.5 AY.52 BA.2.23 BA.1.9 BA.2.12.1 B.1.526 B.1.617 BA.1.21 BA.2.38 B.1.1.7 P.1.7 BA.2.11 BA.2 XAP BG.1 B.1.8 B.1 XAJ P.1.10 BA.2.30 BA.1.2 BA.3 B.1.382 BA.2.72 P.1 BA.1.13.1	0.11006303 0.09699603 0.08190758 0.08182130 0.07741078 0.07615870 0.07483670 0.07078276 0.06960230 0.06575220 0.04508780 0.03057927 0.02628861 0.02515223 0.00872905 0.00652367 0.00652367 0.00608920 0.00574690 0.00563607 0.00434822 0.00404997 0.00329598 0.00237530 0.00233500 0.00178571	10.269032753527316	94.94365113868174
Mixture31	[('Alpha', 0.37874020199957975), ('Other', 0.33708162430298927), ('Gamma', 0.1127189999977854), ('Iota', 0.10191899999976209), ('Delta', 0.06251755197620032), ('Omicron', 0.003140826999965233)]	B.1.1.7 B B.20 B.1.526 B.1.1.161 P.1.4 AY.54 P.1 BA.1.5 AY.13	0.37874020 0.13530359 0.13530359 0.10191900 0.06647444 0.06606780 0.06064037 0.04665120 0.00314083 0.00187718	7.107412121438964	93.32842858576062
Mixture34	[('Alpha', 0.9999999999996854)]	B.1.1.7	1.00000000	5.101757129479882	92.46229475303481
Mixture20	[('Omicron', 0.9951377319917186)]	BA.2.65 BA.2.23 BA.2.32 BA.2.30 BA.2.1 XAH BA.2.2	0.95405905 0.01970900 0.01046030 0.00377766 0.00287308 0.00261265 0.00164599	5.152301202682384	89.93412032237568
Mixture22	[('Omicron', 0.9976818222818965)]	BA.2.12.1 BA.2.12	0.97386182 0.02382000	5.064601198235296	90.75678025616159
Mixture07	[('Omicron', 0.381483174812023), ('Alpha', 0.2339897679993306), ('Iota', 0.2170029999980163), ('Gamma', 0.09699489999800744), ('Other', 0.06426638162711049)]	B.1.1.7 BA.4.1 B.1.526 BA.2.12.1 P.1.4 BA.2.12 P.1.6 B.1.8 B.1 BF.1 P.1 BF.15 BA.4 P.1.7 B.1.199	0.23398977 0.22862204 0.21700300 0.06868027 0.03814900 0.03672594 0.03328400 0.03118896 0.03118896 0.02786380 0.02080510 0.01332284 0.00626829 0.00475680 0.00188846	12.435311283733345	95.46533792596061
Mixture01	[('Omicron', 0.47149477250689514), ('Other', 0.3219747477798626), ('Gamma', 0.09357623896658834), ('Alpha', 0.07339256399299175), ('Iota', 0.023923400000001066), ('Delta', 0.007520383980513105)]	BA.4.1 B.1.1.161 B.1.1.28 B.1.1.7 B.27 BA.3 B.1.533 BA.2.23 P.1 P.1.11 BA.4.8 XAS XU B.1.526 BA.1.21 BA.5 AY.14 BA.2.38 BF.15 B.1.1.189 XAA B.1.1.83 BA.4.1.1 B.1.1.301 P.1.1	0.18963026 0.09350956 0.08492490 0.07339256 0.07159900 0.06417655 0.06049450 0.05988800 0.04796670 0.04419711 0.03990559 0.03909741 0.02400643 0.02392340 0.02253661 0.01298486 0.00752038 0.00750890 0.00671671 0.00653595 0.00318471 0.00318471 0.00185874 0.00172613 0.00141243	12.607841582892629	91.40554459418787
Mixture32	[('Omicron', 0.5159075297919383), ('Iota', 0.1775770000109988), ('Alpha', 0.1590725279926946), ('Other', 0.13316317593798194)]	B.1.526 B.1.1.7 BA.2.23 BA.4.1 BA.2.12.1 BF.1 B BA.1.12 B.1 B.1.8 BA.3 BA.1.17.2 BA.1.9 XAP BA.4 BA.2.12 B.1.547 BA.1.2 BA.1 B.1.153 B.1.78 BA.4.2 B.1.555 XK BA.2.51 B.1.382 BA.2.58 BA.1.3 B.1.157 XAH BA.1.24 BA.2.31	0.17757700 0.15907253 0.11400064 0.09263589 0.07486727 0.06445135 0.05947239 0.04555274 0.02968684 0.02968684 0.02401649 0.01793488 0.01782197 0.01741708 0.01411357 0.01398263 0.00371535 0.00353357 0.00352420 0.00322432 0.00307692 0.00298323 0.00174876 0.00169049 0.00157480 0.00139127 0.00132144 0.00121359 0.00116049 0.00113172 0.00112122 0.00101877	10.06179352108531	96.2278032304451
Mixture26	[('Omicron', 0.9991437883905897)]	BA.4.1	0.99914379	5.888611439784379	89.78363374912216
Mixture09	[('Other', 0.9995005769894894)]	B.20 B.15 B B.27	0.32124689 0.32124689 0.32124689 0.03575990	4.1360724971638865	93.121091529278
Mixture29	[('Omicron', 0.9512640091581385), ('Other', 0.014162602869903116), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.003216579974322842), ('BA.2.86* (BA.2.86X)', 0.0022951731842999804), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.001736110000177579), ('XBB* (XBB.X)', 0.0011535599978495295)]	BA.5.5 BA.4.1 BA.2.12.1 XAP BA.2.4 BA.2.64 BA.2.17 BA.2.63 BG.5 XAH BA.2.62 BA.2.11 BG.2 BA.4.1.4 BA.5.7 BA.2.85 BA.4.2 BA.2.24 BA.2.70 BA.2.18 BA.2.12 BA.2.34 BA.2.52 BA.2.59 BA.2.3.15 BA.4.1.10 BA.2.55 BG.4 BA.4.1.7 BA.4.1.6 BA.2.76.1 BA.2.50 BA.2.61 XAD BA.2.27 BG.7 BA.2.9.7 BA.2.3.7 XAE BA.5.6.4 BG.1 BE.1.4.2 BA.2.51 BF.31.1 BA.2.9 BA.2.81 BA.2.12.2 BA.4.1.5 CQ.1 BA.2.69 BA.2.9.4 BA.2.54 BA.2.48 BA.2.19 BA.2.15 BA.5.5.2 BA.2.26 BA.3.1 BA.2.35 BA.5.1.32 BA.4.1.1 BA.5.5.3 BA.2.77 BA.5.2.40 BA.2.76.2 DJ.1.1.1 BA.2.29 BA.2.46 BA.2.39 BA.5.1.18 BA.2.7 BA.2.56.1 BA.2.72 BA.2.32 BA.2.28 BA.2.22 XAT BA.2.9.6 BA.2.68 BA.5.12 B.1.641 BP.1 BA.5.1.4 DH.1 BA.5.1.38 BA.2.30 XAC BE.9 BA.2.3.17 AV.1 BA.2.31 BA.4.3 BA.2.41 BA.2.87.1 BA.5.1.31 CY.2 BA.2.8 BG.6 BA.2.9.1 XAK BA.2.40 BA.2.3.4 BA.2.23.1 CP.8.1 DE.2 XBJ.1.1 JL.1 BA.4.6.2 BA.2.43 DJ.1.2 BA.2.20 BA.2.79.1 BF.9 BA.2.66 EP.1.1.1 BF.42 BG.3 BA.2.58 XR BA.2.60 XT BA.4.7 BU.3 BA.2.9.2 BA.4.1.3 HW.1.2 FF.1 BA.2.2.1 BA.2.5 BA.2.42 BA.5.1.8 BE.10 B.1.619.1 B.1.632 CK.1.5 BA.2.13.1 B.1.640.2 BE.12 JP.1.1 BA.5.2.63 B.1.622 DB.3 DY.1.1 XBR JN.3.2.1 BA.2.53 CL.1.3 BA.2.6 XAW KE.3 B.1.243.2 DQ.1 BS.1.2 BA.2.3.8 JN.5.1 CP.7 BA.2.14 BZ.1 BA.4.1.8 BE.3 BF.5.3	0.10881835 0.10165071 0.07640566 0.03972751 0.02005200 0.01756837 0.01711525 0.01505510 0.01464990 0.01374870 0.01369860 0.01367930 0.01262510 0.01234570 0.01220010 0.01217965 0.01144380 0.01082250 0.01052140 0.01019610 0.01012262 0.00995025 0.00981354 0.00978068 0.00798112 0.00757930 0.00735544 0.00664523 0.00647967 0.00645895 0.00614778 0.00603448 0.00595966 0.00584705 0.00570125 0.00569706 0.00567376 0.00566163 0.00563409 0.00560748 0.00553698 0.00533507 0.00526870 0.00521739 0.00510487 0.00466456 0.00448549 0.00447279 0.00446686 0.00446258 0.00434898 0.00418033 0.00417827 0.00415961 0.00415455 0.00408654 0.00400356 0.00399137 0.00395487 0.00394875 0.00393038 0.00391236 0.00336706 0.00334455 0.00331306 0.00321499 0.00318697 0.00317858 0.00316103 0.00312324 0.00311292 0.00306453 0.00305832 0.00305344 0.00292887 0.00291635 0.00290698 0.00288809 0.00284592 0.00273799 0.00268595 0.00265957 0.00253325 0.00247372 0.00244204 0.00242550 0.00238474 0.00236450 0.00231200 0.00230170 0.00230165 0.00226501 0.00226335 0.00225129 0.00220603 0.00215850 0.00212450 0.00212327 0.00210121 0.00209488 0.00202275 0.00202071 0.00199648 0.00199413 0.00194890 0.00192789 0.00189066 0.00185479 0.00182648 0.00180243 0.00179791 0.00179721 0.00179068 0.00177109 0.00173611 0.00173160 0.00171869 0.00168431 0.00167512 0.00166838 0.00165535 0.00163109 0.00162474 0.00155111 0.00154927 0.00154550 0.00149548 0.00147583 0.00146826 0.00141643 0.00141380 0.00139182 0.00136877 0.00136333 0.00136153 0.00135722 0.00134242 0.00133274 0.00132592 0.00125415 0.00125120 0.00123584 0.00123316 0.00121877 0.00121305 0.00121302 0.00118530 0.00115709 0.00115364 0.00115356 0.00115009 0.00113630 0.00109332 0.00108777 0.00108212 0.00108087 0.00107767 0.00105176 0.00105054 0.00104000 0.00100666	35.41428649639336	93.41203223756814
Mixture37	[('Delta', 0.9992499970012376)]	AY.30	0.99925000	6.045393278136947	91.87706919038223
Mixture39	[('Omicron', 0.9967181767669223)]	BA.2.65 BA.2.40 BA.2.23	0.99036333 0.00319490 0.00315995	4.441031094396368	88.15169046583955
Mixture40	[('Omicron', 0.9996132783377619)]	BA.2.12.1 BA.2.12	0.97710029 0.02251299	3.9062813338148725	88.00789218473064
Mixture41	[('Omicron', 0.9993699950038519)]	BA.5.5	0.99937000	5.259603369355308	89.42246597331372
Mixture08	[('Omicron', 0.9891098574005818)]	BA.5.5 BA.2.23 BA.1.12 XAP BA.4.1 BA.2.12.1 BA.4 XM BA.1 BA.1.9 XAJ BA.1.2 BA.1.13 BA.1.8 B.1.1.529 XAH BA.2.23.1	0.21583355 0.15554441 0.10836605 0.10067995 0.09612448 0.08175466 0.08098229 0.07977520 0.03693372 0.01260940 0.00774500 0.00556647 0.00215517 0.00160428 0.00133816 0.00107248 0.00102459	5.788331063066753	92.60943718021603
