	summarized	lineages	abundances	resid	coverage
Mixture10	[('Omicron', 0.9996232024556634)]	XV BA.2.49 BA.2.87 BA.2.11 BA.2.63 BA.2.50 BA.2.41 BA.2.72 BA.2.24 BA.2.3 BA.2.27 BA.2.65 BA.2.56 BA.2.59 BA.2.4	0.52173900 0.03963514 0.03963514 0.03963514 0.03963514 0.03963514 0.03963514 0.03963514 0.03963514 0.03963514 0.03963514 0.03963514 0.03963514 0.00114025 0.00112233	5.3958214206703605	66.79931779420124
Mixture18	[('Delta', 0.9993573489405362)]	AY.30	0.99935735	6.447567680404655	89.9876266595325
Mixture17	[('Iota', 0.9995590003957457)]	B.1.526	0.99955900	5.536061015936514	93.58258368725546
Mixture01	[('Omicron', 0.4754950211233733), ('Other', 0.2692385149544141), ('Alpha', 0.10598699999401907), ('Gamma', 0.05769229999062992), ('XBB.1.5* [Omicron (XBB.1.5.X)]', 0.052255591975096355), ('XBB* (XBB.X)', 0.015050838375448426), ('Iota', 0.011286699998814986)]	BA.2.12 BA.4 B.1.1.7 B.1.1.116 BA.4.8 B.1.1.200 XBB.1.5.62 XAP B.1.513 BA.3 P.1 B.1.1.277 P.1.6 BA.2 B B.20 XBB.1.3 BA.2.38 B.1.526 BA.2.73 BA.2.10 BA.5.5 BA.4.1 B.1.533 B.1.413	0.13462600 0.11864089 0.10598700 0.08953967 0.06008000 0.05800788 0.05225559 0.05185036 0.04934016 0.04506110 0.03355350 0.03153361 0.02413880 0.02012860 0.01797639 0.01797639 0.01505084 0.01229455 0.01128670 0.01081714 0.00810750 0.00797036 0.00591851 0.00277130 0.00209312	15.69961604046785	98.475069391031
Mixture24	[('Omicron', 0.9998682999829763)]	BF.1	0.99986830	6.042264751686321	83.81767715613817
Mixture13	[('Omicron', 0.9988336221531892)]	BA.4.1.4 BA.4.1 BA.4.1.10	0.49812768 0.49812768 0.00257827	8.425631155028743	88.80714309601044
Mixture14	[('Other', 0.9984666133911382)]	B.20 B	0.49923331 0.49923331	6.3640920504383	96.05390763468549
Mixture33	[('Other', 0.9992906168935121)]	B.20 B.15 B	0.33309687 0.33309687 0.33309687	1.9981198588671405	89.2953884225663
Mixture02	[('Alpha', 0.466978999999188), ('Other', 0.44102013399726137), ('Omicron', 0.08804216519412073)]	B.1.1.7 B.1.1.161 B.1.533 B.1.1.28 B.1.1.529 B.1.617 B.47 BA.1.21 B.1.370	0.46697900 0.20004068 0.11365822 0.11229083 0.08666503 0.01243090 0.00158479 0.00137714 0.00101471	13.907274476560186	94.18452998026955
Mixture23	[('Omicron', 0.9989628477499314)]	BA.2.12.1 BA.2.12	0.99034046 0.00862238	4.439683693497121	87.32568638598134
