	summarized	lineages	abundances	resid	coverage
Mixture23	[('Omicron', 0.9935775244370092)]	FM.2 BA.5.1 BE.1 BA.5.6 BA.5.2.1 BA.5.1.22 BA.5.1.17 BA.5.1.24 BA.5.1.14 BA.5.1.12 BA.5.1.34 BA.5.1.35 BA.5.1.23 BA.5.1.3 BA.5.1.30 BA.5.1.2 BA.5.9 BA.5.11 BA.5.2 XAP XAZ BG.5 BA.2.38.4 XZ XAD XT BA.2.76.1 BA.2.38.2 BG.6 XAJ BH.1 BA.5 BA.5.3 BA.5.5 BA.5.3.1 BA.5.3.4 BE.11 BE.4 BA.5.3.5 BA.5.5.1 BE.6 BE.1.1 BE.2 BE.5 BE.1.2 BF.17 BF.14 BF.7 BF.38.3 BF.38.1 BF.33 BF.26 BA.5.2.2 BA.5.1.26 DL.1 BE.7 BA.5.1.10 BA.5.1.25 BF.41 BA.5.5.3 BF.12 BF.8 BF.18 BF.6 BF.31 BF.4 BA.5.1.15 BF.38 BF.39 BA.5.2.9 BA.5.1.5 BA.5.1.16 BA.5.1.28 BA.2.76.2 XAH DN.3.1 BA.2.10.3 BA.2.10.1 BA.2.85 BA.2.37 BA.2.68 BA.2.73 BA.2.12 BA.2.57 BA.2.38 BA.2.64 BA.2.16 BA.2.87 BA.2.26 BA.2.67 BA.2.55 BA.2.31.1 BA.2.10.2 BA.2.61 XAS BA.2.33 BA.2.56 BA.2.4 BA.2.5 BA.2.29 BA.2.65 BA.2.58 BA.2.10 BA.2.24 BA.2.31 BA.2.1 BA.2.72 BA.2.41 BA.2.50 BA.2.63 BA.2.11 BA.2.14 BA.2.71 BA.2.52 BA.2.25 BA.2.39 BA.2.46 BA.2.21 BA.2.12.1 BA.2.82 BA.2.42 BA.2.22 BA.2.44 BA.2.60 BA.2.2.1 BA.2.80 BA.2.53 BA.2.13.1 BA.2.38.1 BA.2.38.3 BA.2.47 BA.2.13 BA.2.45 BA.2.20 BA.2.51 BA.2.6 BA.2.36 BA.2.69 BA.2.56.1 BA.2.54 BA.2.43 BA.2.49 BA.2.78 BA.2.79 BA.2.76 BA.2.15 BA.2.2 BA.2.81 BA.5.1.7 BA.5.1.27 DJ.1 FC.1 BQ.1.1.63 EF.1 EF.3 EF.2 BQ.1.1.34 BQ.1.1.60 BQ.1.1.70 BQ.1.1.25 BQ.1.1.57 BQ.1.1.55 BQ.1.1.65 BQ.1.1.64 BQ.1.1.12 BQ.1.1.2 BQ.1.1.73 CW.1 BQ.1.1.8 BK.1 BQ.1.1.68 BQ.1.1.46 BQ.1.1.36 BQ.1.1.10 BQ.1.1.15 BQ.1.1.45 BQ.1.1.3 BQ.1.18 BQ.1.1.4 BQ.1.1.37 BQ.1.1.31 BQ.1.1.66 BQ.1.1.1 BQ.1.1.32 BQ.1.16 BQ.1.1.77 BQ.1.1.49 BQ.1.1.48 FA.1 DM.1 BQ.1.1.59 BQ.1.8.1 DP.1 EF.1.1 FN.1 EW.2 DU.1 DN.3 DR.2 BQ.1.1.41 BQ.1.8.2 EF.1.1.1 EN.1.1 EW.1 EH.1 BQ.1.1.28 ES.1 BQ.1.1.38 EE.5 BQ.1.1.5 DR.1 BQ.1.1.30 EE.3 EE.4 EE.1 EE.2 EN.1 CZ.1 CZ.2 DT.1 DT.3 BQ.1.8 BQ.1.32 BQ.1.1.11 BQ.1.1.50 BQ.1.1.58 BQ.1.7 BA.5.1.37 BE.1.1.1 BE.1.2.1 BF.7.4 BA.5.2.23 EB.1 DJ.1.1 DJ.1.3 BQ.2 BF.7.9 BF.7.11 BF.7.17 BF.39.1 BA.5.2.40 BQ.1 BA.5.1.9 BF.40 BF.37 BF.7.7 BA.5.1.36 BA.5.1.20 BE.12 BF.7.12 BF.7.18 BF.7.26 BF.7.10 BF.7.1 BF.7.16 BF.7.24 BF.7.8 BF.7.23 BF.7.21 BF.7.20 BQ.1.11 BQ.1.20 BQ.1.1.19 BQ.1.14 BQ.1.1.72 BQ.1.1.14 BQ.1.1.40 BQ.1.1.24 BQ.1.1.9 BQ.1.1.13 BQ.1.1.56 BQ.1.1.21 BQ.1.1.74 BQ.1.1.67 BQ.1.1.47 BQ.1.1.44 BQ.1.1.6 BQ.1.1.53 BQ.1.22 BQ.1.1.26 BQ.1.2.2 BQ.1.15.1 BQ.1.17 BQ.1.31 BQ.1.15 BQ.1.2 BQ.1.5 BQ.1.19 DJ.1.2 BQ.1.2.3 BQ.1.33 BQ.1.9 BQ.1.24 BQ.1.1 BQ.1.27 BQ.1.23 DW.1 BA.2	0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415 0.00333415	0.03705119536782003	19.586663545463665
Mixture35	[('Gamma', 0.9538720261189557), ('Other', 0.035255253535487745), ('A', 0.003098722010115771), ('Alpha', 0.001266592026859094)]	P.1.12 P.1.7 P.1.1 P.1.11 P.1.16 P.1.4 P.1.17 P.1.8 P.1.2 P.1.6 P.1.10.1 P.1.9 P.1.14 AV.1 B.1.641 B.1.160.9 AT.1 B.1.626 U.1 B.1.640.1 AP.1 A.27 N.10 P.1.5 XDS B.1.258.23 GL.2 Q.5 B.1.1.522 A.28 C.2.1 P.1.13 B.1.36.33 XAW	0.14359021 0.14359021 0.14359021 0.14359021 0.14359021 0.14359021 0.02391440 0.01944103 0.01639340 0.01000220 0.00820650 0.00647347 0.00521512 0.00465830 0.00432900 0.00405680 0.00332168 0.00216144 0.00214823 0.00212936 0.00212788 0.00190006 0.00159792 0.00151492 0.00146723 0.00137931 0.00127742 0.00126659 0.00123745 0.00119866 0.00118689 0.00116970 0.00115364 0.00102270	23.396828940641598	40.246797980135774
Mixture01	[('Other', 0.5517484230461057), ('Omicron', 0.4385089321064763)]	B.1.1.368 BA.2.40.1 BA.2.18 B.1.400 B.1.399 B.1.1.197 B.1.1.112 B.1.1.135 B.1.1.28 B.1.1.274 B.1.1.253 B.1.1.372 B.1.1.200 B.1.1.137 B.1.1.118 B.1.1.148 B.1.1.99 B.1.1.462 B.1.1.57 B.1.1.515 B.1.1.117 B.1.1.448 B.1.238 B.1.8 B.1.143 B.1.105 B.1.106 B.1.378 B.1.91 B.1.1 B.1.528 B.1.1.249 B.1.243 B.1.1.464 B.1.1.1 B.1.1.369 B.1.222 B.1.390 B.1.416 B.1.416.1 B.1.232 B.1.1.500 B.1.239 B.1.190 B.1.1.453 B.1.1.132 B.1.1.416 B.1.1.152 B.1.1.58 B.1.1.362 B.1.1.436 B.1.1.407 B.1.1.144 B.1.1.61 B.1.1.403 B.1.1.517 B.1.1.418 B.1 B.1.192 B.1.420 B.1.225 B.1.609 B.1.1.512 B.1.1.53 B.1.69 B.1.1.331 B.1.215 B.1.1.13 B.1.1.194 B.1.240 B.1.242 B.1.1.297 B.1.1.75 B.1.1.5 B.1.1.27 B.1.1.317 B.1.1.518 B.1.1.119 B.1.1.423 B.1.1.426 B.1.1.204 B.1.1.328 B.1.1.329 B.1.1.301 B.1.1.299 B.1.1.222 B.1.1.408 B.1.1.435	0.25989700 0.21925447 0.21925447 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00344938 0.00309598 0.00245700	16.42833124006152	58.31187506270274
Mixture19	[('Omicron', 0.9978979977544647)]	BA.1.1.7 BA.1.1.12 BA.1.1.11 BA.1.13.1 BA.1.1 BA.1.16 BA.1.13 BA.1.5 BA.1.4 BA.1.12 BA.1.1.5	0.09946193 0.09946193 0.09946193 0.09946193 0.09946193 0.09946193 0.09946193 0.09946193 0.09946193 0.09946193 0.00327869	3.290791211756549	62.43520716984918
Mixture33	[('Other', 0.9993124528999558)]	B.18 B.56 B.12 B.50 B.6 B.23 B.55 B.15 B.20 B B.47	0.09972028 0.09972028 0.09972028 0.09972028 0.09972028 0.09972028 0.09972028 0.09972028 0.09972028 0.09972028 0.00210970	1.050230468756077	52.767280874828614
Mixture21	[('Other', 0.9993404381931952)]	B.13 B.51 B.4 B.56 B.26 B.47 B.19 B.20 B.15 B	0.09993404 0.09993404 0.09993404 0.09993404 0.09993404 0.09993404 0.09993404 0.09993404 0.09993404 0.09993404	0.35815774503618414	45.95525532555262
Mixture18	[('Delta', 0.9994461474013075)]	AY.30	0.99944615	4.0589082192147465	73.46420091629602
Mixture13	[('Omicron', 0.9991925305758185)]	BA.4.1 BA.4	0.49959627 0.49959627	5.6959288473342635	78.27308296826405
Mixture16	[('Gamma', 0.9999999999995464)]	P.1.12 P.1.15	0.50000000 0.50000000	0.5188731173361828	66.05357322007825
Mixture12	[('Omicron', 0.9962055757586177)]	BF.1 BA.5.5 BA.5 BA.5.3.4	0.62342063 0.34381919 0.02624567 0.00272008	6.863235476836085	91.39885630204327
