#chrom,start,end,region,0X,1X,10X,30X,100X,500X,1000X,5000X,10000X,mixture,batch,1X_ratio,10X_ratio,30X_ratio,100X_ratio,500X_ratio,1000X_ratio,5000X_ratio,10000X_ratio
MN908947.3,1,29903,whole genome,29902,18310,17443,17320,16166,12580,11323,6189,2969,0adgio1o2o3o4o5,illumina_ss: wb,0.6123336231690188,0.5833389070965153,0.5792254698682362,0.540632733596415,0.4207076449735804,0.378670323055314,0.20697612199852852,0.09929101732325597
MN908947.3,1,29903,whole genome,29902,28408,28009,27264,26186,20990,18389,10031,6774,0adgio1,illumina_ss: wb,0.9500367868370009,0.9366931977794127,0.9117784763560965,0.8757273760952444,0.7019597351347736,0.6149755869172631,0.3354625108688382,0.22654003076717277
MN908947.3,1,29903,whole genome,29902,27146,26310,25450,23913,19847,17113,9554,5633,o2o3o4o5,illumina_ss: wb,0.907832252023276,0.8798742559026153,0.8511136378837536,0.7997123938198114,0.663734867232961,0.5723028559962544,0.3195104006420975,0.18838204802354358
MN908947.3,1,29903,whole genome,29902,27985,27411,26605,25627,21119,18578,10436,6229,0agio1o2,illumina_ss: wb,0.9358905758812119,0.9166945354825764,0.8897398167346666,0.8570329743829844,0.7062738278376028,0.6212962343655942,0.34900675540097653,0.20831382516219651
MN908947.3,1,29903,whole genome,29902,25224,24521,23974,22942,18380,15951,8809,5757,0o5o3o4,illumina_ss: wb,0.8435556150090295,0.8200454819075648,0.8017523911444051,0.7672396495217711,0.6146746037054378,0.5334425790916996,0.2945956792187813,0.19252892783091433
MN908947.3,1,29903,whole genome,29902,28963,28522,28517,28427,26723,25543,14887,5133,adgio1o2o3,illumina_ss: wb,0.9685974182328941,0.9538492408534546,0.9536820279579962,0.9506721958397432,0.8936860410674872,0.8542237977392817,0.4978596749381312,0.1716607584776938
MN908947.3,1,29903,whole genome,29902,28825,28748,28590,28538,27411,26079,15921,5744,agio3o4o5,illumina_ss: wb,0.9639823423182395,0.9614072637281788,0.9561233362316902,0.9543843221189218,0.9166945354825764,0.8721490201324326,0.5324393017189486,0.19209417430272221
MN908947.3,1,29903,whole genome,29902,28655,27931,27614,27370,26355,25403,15258,5391,o1o2o3o4o5,illumina_ss: wb,0.9582971038726507,0.9340846766102602,0.9234833790381914,0.9153233897398168,0.8813791719617416,0.8495418366664437,0.5102668717811517,0.1802889438833523
MN908947.3,1,29903,whole genome,29902,27810,27348,26377,24507,20388,17725,8956,5526,0,illumina_ss: wb,0.9300381245401645,0.9145876529997994,0.8821149087017591,0.8195772858002809,0.6818273025215704,0.5927697144003745,0.2995117383452612,0.18480369206073172
MN908947.3,1,29903,whole genome,29902,27733,27478,26256,25569,21675,19462,10736,6216,o1o2,illumina_ss: wb,0.9274630459501036,0.9189351882817203,0.8780683566316634,0.8550933047956658,0.7248679018125878,0.6508594742826567,0.3590395291284864,0.2078790716340044
MN908947.3,1,29903,whole genome,29902,27389,25767,25686,24592,20336,18378,10258,5915,o3,illumina_ss: wb,0.915958798742559,0.8617149354558223,0.8590060865493947,0.8224199050230754,0.6800882884088021,0.6146077185472544,0.343053976322654,0.19781285532740284
MN908947.3,1,29903,whole genome,29902,27846,27331,26997,26710,24979,23704,13309,4055,o5,illumina_ss: wb,0.9312420573874657,0.9140191291552404,0.9028493077386128,0.8932512875392951,0.8353621831315631,0.7927228947896462,0.4450872851314293,0.13560965821684168
MN908947.3,1,29903,whole genome,29902,24547,23441,22728,21226,16504,14322,8032,4994,o4,illumina_ss: wb,0.8209149889639489,0.7839274964885292,0.7600829375961474,0.7098521838004147,0.5519363253294094,0.478964617751321,0.2686107952645308,0.16701223998394757
MN908947.3,1,29903,whole genome,29902,28457,27848,27822,27764,26992,26164,16246,5646,0-2,illumina_ss: wb,0.9516754732124941,0.9313089425456491,0.9304394354892649,0.9284997659019464,0.9026820948431543,0.8749916393552271,0.5433081399237509,0.18881680155173566
MN908947.3,1,29903,whole genome,29902,27677,27061,26591,25618,21618,18705,9770,4827,a,illumina_ss: wb,0.9255902615209685,0.9049896328004816,0.8892716206273827,0.8567319911711592,0.7229616748043609,0.6255434419102401,0.3267339977259046,0.16142732927563375
MN908947.3,1,29903,whole genome,29902,20144,19770,19043,17971,13203,11069,6084,4439,g,illumina_ss: wb,0.6736673132231957,0.6611597886429001,0.6368470336432346,0.6009965888569326,0.44154237174770916,0.37017590796602234,0.2034646511939001,0.1484516085880543
MN908947.3,1,29903,whole genome,29902,27517,26757,26109,24693,20198,16912,9477,5533,i,illumina_ss: wb,0.9202394488662966,0.8948230887566049,0.8731522975051836,0.8257976055113371,0.6754732124941476,0.5655808975988228,0.31693532205203667,0.18503779011437363
MN908947.3,1,29903,whole genome,29902,23155,21974,21420,19899,15360,12873,6730,4427,d,illumina_ss: wb,0.7743629188683031,0.734867232961006,0.7163400441442044,0.6654738813457294,0.5136780148485052,0.4305063206474483,0.22506855728713798,0.14805029763895391
MN908947.3,1,29903,whole genome,29902,13860,13744,13454,12860,9549,8859,5355,3464,0-3,illumina_ss: wb,0.46351414621095577,0.45963480703631865,0.4499364590997258,0.43007156711925626,0.319343187746639,0.29626780817336634,0.1790850110360511,0.11584509397364724
MN908947.3,1,29903,whole genome,29902,28352,27614,27213,27000,25247,24116,12696,3320,o3-2,illumina_ss: wb,0.9481640024078657,0.9234833790381914,0.9100729048224199,0.9029496354758879,0.8443247943281386,0.8065012373754263,0.4245869841482175,0.11102936258444251
MN908947.3,1,29903,whole genome,29902,26164,24983,24398,23134,17510,14725,7909,4767,o5-2,illumina_ss: wb,0.8749916393552271,0.8354959534479299,0.8159320446792857,0.7736606247073774,0.5855795598956591,0.4924419771252759,0.26449735803625174,0.15942077453013176
MN908947.3,1,29903,whole genome,29902,24136,23436,22905,21032,16706,14671,8184,5198,o5-3,illumina_ss: wb,0.8071700889572604,0.7837602835930707,0.7660022740953782,0.703364323456625,0.5586917263059327,0.4906360778543241,0.2736940672864691,0.17383452611865427
MN908947.3,1,29903,whole genome,29902,28806,27905,27083,26729,25492,24622,15120,6038,o4-2,illumina_ss: wb,0.9633469333154973,0.933215169553876,0.905725369540499,0.8938866965420373,0.852518226205605,0.8234231823958263,0.5056517958664972,0.2019262925556819
MN908947.3,1,29903,whole genome,29902,28605,27824,27431,26939,25460,24009,14809,6466,o4-3,illumina_ss: wb,0.9566249749180656,0.9305063206474483,0.9173633870644105,0.9009096381512942,0.8514480636746706,0.8029228814126146,0.49525115376897866,0.2162397164069293
MN908947.3,1,29903,whole genome,29902,26577,25995,25272,23029,18291,16107,8873,5261,o2-2,illumina_ss: wb,0.888803424520099,0.8693398434887298,0.8451608588054311,0.770149153902749,0.6116982141662765,0.5386596214300047,0.2967360042806501,0.17594140860143134
MN908947.3,1,29903,whole genome,29902,28971,28107,27685,27401,25788,24467,13801,4278,o2o3o4o5-2,illumina_ss: wb,0.9688649588656277,0.9399705705303993,0.9258578021537021,0.9163601096916594,0.862417229616748,0.8182395826366129,0.4615410340445455,0.1430673533542907
MN908947.3,1,29903,whole genome,29902,26556,25584,25161,23208,17638,15346,8188,4802,o2o3o4o5-3,illumina_ss: wb,0.8881011303591733,0.8555949434820413,0.8414487325262524,0.7761353755601632,0.5898602100193967,0.5132098187412213,0.2738278376028359,0.16059126479834124
MN908947.3,1,29903,whole genome,29902,27965,27222,26486,24863,19520,17003,9112,4662,0adgio1-2,illumina_ss: wb,0.935221724299378,0.9103738880342452,0.8857601498227543,0.831482843956926,0.6527991438699753,0.5686241722961675,0.3047287806835663,0.15590930372550332
MN908947.3,1,29903,whole genome,29902,28930,28775,28735,28540,26488,24909,13307,3648,0aio1o2o3o4o5,illumina_ss: wb,0.9674938131228681,0.9623102133636546,0.9609725101999866,0.9544512072771052,0.8858270349809377,0.8330212025951441,0.44502039997324594,0.12199852852651996
MN908947.3,1,29903,whole genome,29902,15912,15780,15524,14099,10906,9141,4471,2700,0-4,illumina_ss: wb,0.5321383185071232,0.5277238980670189,0.5191625978195439,0.471506922613872,0.3647247675740753,0.3056986154772256,0.1495217711189887,0.09029496354758879
MN908947.3,1,29903,whole genome,29902,27867,27839,27839,27259,25649,24118,13761,4743,a-2,illumina_ss: wb,0.9319443515483914,0.9310079593338239,0.9310079593338239,0.911611263460638,0.8577687111230018,0.8065681225336098,0.46020333088087756,0.15861815263193096
MN908947.3,1,29903,whole genome,29902,12095,11721,11169,9904,7768,6164,4368,2856,g-2,illumina_ss: wb,0.4044879941141061,0.39198046953381044,0.37352016587519227,0.33121530332419236,0.2597819543843221,0.20614005752123604,0.14607718547254364,0.09551200588589392
MN908947.3,1,29903,whole genome,29902,23770,23345,22339,20440,16797,14160,7648,5025,i-2,illumina_ss: wb,0.7949301050096983,0.780717008895726,0.7470737743294763,0.6835663166343389,0.5617350010032773,0.47354691993846565,0.2557688448933182,0.16804895993579025
MN908947.3,1,29903,whole genome,29902,28023,27986,27894,26905,25046,23446,13068,3939,d-2,illumina_ss: wb,0.9371613938866965,0.9359240184603037,0.9328473011838673,0.8997725904621764,0.837602835930707,0.7840947093839877,0.43702762357032976,0.13173031904220453
MN908947.3,1,29903,whole genome,29902,24549,23959,23090,21748,16764,14976,8253,4285,o1-2,illumina_ss: wb,0.8209818741221323,0.8012507524580296,0.7721891512273427,0.7273092100862818,0.5606313958932513,0.5008360644772925,0.2760016052437964,0.14330145140793257
MN908947.3,1,29903,whole genome,29902,26928,26195,25513,23603,18212,16204,7805,3748,o2-3,illumina_ss: wb,0.9005417697812855,0.8760283593070698,0.8532205203665306,0.7893451943013845,0.6090562504180322,0.5419035516018995,0.261019329810715,0.1253427864356899
MN908947.3,1,29903,whole genome,29902,28096,27865,27506,27230,25394,23834,14371,6398,o3-4,illumina_ss: wb,0.9396027021603907,0.931877466390208,0.9198715804962879,0.9106414286669788,0.8492408534546184,0.7970704300715671,0.48060330412681423,0.21396562102869374
