chrom,start,end,gene,mean_coverage,mixture,batch
MN908947.3,1,29903,whole genome,2996.59,0adgio1o2o3o4o5,illumina_ss: wb
MN908947.3,1,29903,whole genome,5787.4,0adgio1,illumina_ss: wb
MN908947.3,1,29903,whole genome,5075.3,o2o3o4o5,illumina_ss: wb
MN908947.3,1,29903,whole genome,6127.55,0agio1o2,illumina_ss: wb
MN908947.3,1,29903,whole genome,5548.01,0o5o3o4,illumina_ss: wb
MN908947.3,1,29903,whole genome,5905.09,adgio1o2o3,illumina_ss: wb
MN908947.3,1,29903,whole genome,6478.92,agio3o4o5,illumina_ss: wb
MN908947.3,1,29903,whole genome,6140.76,o1o2o3o4o5,illumina_ss: wb
MN908947.3,1,29903,whole genome,5057.03,0,illumina_ss: wb
MN908947.3,1,29903,whole genome,5693.15,o1o2,illumina_ss: wb
MN908947.3,1,29903,whole genome,5308.97,o3,illumina_ss: wb
MN908947.3,1,29903,whole genome,5226.68,o5,illumina_ss: wb
MN908947.3,1,29903,whole genome,5189.32,o4,illumina_ss: wb
MN908947.3,1,29903,whole genome,6409.69,0-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,4723.86,a,illumina_ss: wb
MN908947.3,1,29903,whole genome,3952.97,g,illumina_ss: wb
MN908947.3,1,29903,whole genome,5302.9,i,illumina_ss: wb
MN908947.3,1,29903,whole genome,4121.75,d,illumina_ss: wb
MN908947.3,1,29903,whole genome,3160.06,0-3,illumina_ss: wb
MN908947.3,1,29903,whole genome,5007.27,o3-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,4507.98,o5-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,4762.14,o5-3,illumina_ss: wb
MN908947.3,1,29903,whole genome,6182.3,o4-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,6190.55,o4-3,illumina_ss: wb
MN908947.3,1,29903,whole genome,4622.38,o2-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,5450.9,o2o3o4o5-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,4310.92,o2o3o4o5-3,illumina_ss: wb
MN908947.3,1,29903,whole genome,4643.12,0adgio1-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,5212.74,0aio1o2o3o4o5,illumina_ss: wb
MN908947.3,1,29903,whole genome,2655.27,0-4,illumina_ss: wb
MN908947.3,1,29903,whole genome,5530.86,a-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,2586.51,g-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,4465.77,i-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,5114.79,d-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,4275.48,o1-2,illumina_ss: wb
MN908947.3,1,29903,whole genome,3690.31,o2-3,illumina_ss: wb
MN908947.3,1,29903,whole genome,6090.57,o3-4,illumina_ss: wb
MN908947.3,1,29903,whole genome,2167.01,0adgio1o2o3o4o5,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,1992.02,0adgio1,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,1226.11,o2o3o4o5,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2408.98,0agio1o2,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2003.41,0o5o3o4,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,3088.08,adgio1o2o3,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,4610.01,agio3o4o5,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,4101.18,o1o2o3o4o5,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,3750.99,0,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,1965.22,o1o2,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,1590.64,o3,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,3714.85,o5,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,1552.54,o4,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2813.4,0-2,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2605.64,a,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2173.1,g,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2292.68,i,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,1232.08,d,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,555.61,0-3,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,3952.68,o3-2,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2260.72,o5-2,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,944.56,o5-3,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,4141.11,o4-2,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2308.62,o4-3,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,2508.24,o2-2,illumina_ss: nwrb
MN908947.3,1,29903,whole genome,4734.46,o2o3o4o5-2,illumina_ss: nwrb
