#chrom,start,end,region,0X,1X,10X,30X,100X,500X,1000X,5000X,10000X,mixture,batch,1X_ratio,10X_ratio,30X_ratio,100X_ratio,500X_ratio,1000X_ratio,5000X_ratio,10000X_ratio
MN908947.3,21563,25384,S,3821,1217,1217,1217,1188,749,747,290,0,0adgio1o2o3o4o5,illumina_ss: wb,0.31850300968332895,0.31850300968332895,0.31850300968332895,0.3109133734624444,0.1960219837738812,0.19549856058623397,0.07589636220884585,0.0
MN908947.3,21563,25384,S,3821,3583,3583,3337,3096,2559,2226,1007,656,0adgio1,illumina_ss: wb,0.9377126406699817,0.9377126406699817,0.8733315885893745,0.8102590944778854,0.6697199685946087,0.5825700078513478,0.2635435749803716,0.1716828055482858
MN908947.3,21563,25384,S,3821,3583,3315,3163,2780,2368,1912,764,438,o2o3o4o5,illumina_ss: wb,0.9377126406699817,0.8675739335252551,0.827793771264067,0.7275582308296258,0.6197330541742999,0.5003925673907355,0.1999476576812353,0.1146296780947396
MN908947.3,21563,25384,S,3821,3583,3529,3098,3097,2621,2184,849,342,0agio1o2,illumina_ss: wb,0.9377126406699817,0.9235802146035069,0.8107825176655326,0.810520806071709,0.6859460874116723,0.5715781209107563,0.22219314315624183,0.08950536508767339
MN908947.3,21563,25384,S,3821,2743,2581,2441,2377,1592,1137,383,261,0o5o3o4,illumina_ss: wb,0.7178749018581523,0.6754776236587281,0.6388380005234232,0.6220884585187124,0.4166448573671814,0.29756608217744046,0.10023554043444124,0.06830672598796127
MN908947.3,21563,25384,S,3821,3609,3583,3583,3583,3096,2991,1595,376,adgio1o2o3,illumina_ss: wb,0.9445171421093954,0.9377126406699817,0.9377126406699817,0.9377126406699817,0.8102590944778854,0.7827793771264067,0.4174299921486522,0.098403559277676
MN908947.3,21563,25384,S,3821,3732,3707,3583,3580,3299,3026,1807,473,agio3o4o5,illumina_ss: wb,0.976707668149699,0.9701648783041089,0.9377126406699817,0.9369275058885108,0.8633865480240774,0.791939282910233,0.47291285003925676,0.12378958387856583
MN908947.3,21563,25384,S,3821,3719,3583,3583,3583,3071,2928,1207,361,o1o2o3o4o5,illumina_ss: wb,0.9733054174299921,0.9377126406699817,0.9377126406699817,0.9377126406699817,0.8037163046322953,0.7662915467155195,0.3158858937450929,0.09447788537032191
MN908947.3,21563,25384,S,3821,3583,3583,3224,2884,2469,1973,793,263,0,illumina_ss: wb,0.9377126406699817,0.9377126406699817,0.8437581784873069,0.7547762365872808,0.6461659251504842,0.5163569746139755,0.20753729390211986,0.06883014917560848
MN908947.3,21563,25384,S,3821,3732,3663,3134,2951,2603,2183,699,468,o1o2,illumina_ss: wb,0.976707668149699,0.9586495681758702,0.8202041350431825,0.7723109133734625,0.6812352787228474,0.5713164093169327,0.18293640408270087,0.12248102590944779
MN908947.3,21563,25384,S,3821,3583,3039,3031,2616,1991,1931,820,246,o3,illumina_ss: wb,0.9377126406699817,0.7953415336299398,0.793247840879351,0.6846375294425543,0.5210677833028003,0.505365087673384,0.21460350693535724,0.06438105208060717
MN908947.3,21563,25384,S,3821,3609,3583,3583,3477,3017,2823,897,243,o5,illumina_ss: wb,0.9445171421093954,0.9377126406699817,0.9377126406699817,0.9099712117246794,0.7895838785658205,0.7388118293640408,0.23475529965977493,0.06359591729913636
